Age,SrCa,Dist
1997.242466,8.804934209,18
1997.258904,8.848045431,17.7
1997.275342,8.860073531,17.4
1997.291781,8.890012875,17.1
1997.308219,8.936537195,16.8
1997.324658,8.960777851,16.5
1997.341096,8.973893569,16.2
1997.357534,8.97399962,15.9
1997.373973,9.000546891,15.6
1997.390411,9.002523261,15.3
1997.406849,8.982447932,15
1997.423288,9.033145185,14.7
1997.439726,9.0347514,14.4
1997.456164,9.090675119,14.1
1997.475342,9.115416598,13.8
1997.494521,9.091879327,13.5
1997.513699,9.136606751,13.2
1997.552055,9.116356325,12.9
1997.590411,9.140642747,12.6
1997.623288,9.116377592,12.3
1997.656164,9.068331423,12
1997.689041,9.022884602,11.7
1997.724658,8.957008944,11.4
1997.730137,8.969890746,11.1
1997.738356,8.896852683,10.8
1997.746575,8.887214026,10.5
1997.754795,8.920774891,10.2
1997.763014,8.914470369,9.9
1997.771233,8.894245611,9.6
1997.779452,8.86093053,9.3
1997.787671,8.846116753,9
1997.79589,8.844820275,8.7
1997.80411,8.860573216,8.4
1997.812329,8.841173221,8.1
1997.820548,8.863116838,7.8
1997.836986,8.859776536,7.5
1997.853425,8.820893323,7.2
1997.869863,8.817078132,6.9
1997.886301,8.803690524,6.6
1997.90274,8.788246459,6.3
1997.919178,8.770310952,6
1997.935616,8.794391892,5.7
1997.954795,8.746898246,5.4
1997.965753,8.797228066,5.1
1997.979452,8.806394722,4.8
1997.993151,8.825857153,4.5
1998.009589,8.817794425,4.2
1998.028767,8.802660009,3.9
1998.047945,8.753470728,3.6
1998.067123,8.640075555,3.3
1998.086301,8.626503566,3
1998.105479,8.643341635,2.7
1998.124658,8.682536185,2.4
1998.143836,8.715682691,2.1
1998.163014,8.750912443,1.8
1998.245205,8.733807714,1.5
1998.330137,8.760047491,1.2
1998.412329,8.800418692,0.9
1998.49726,8.899429507,0.6
1998.582192,9.102315729,0.3
