Age,d18O,SrCa,d18Osw
1992.907,-4.796,8.954,0.03
1992.947,-4.853,8.926,0.05
1992.988,-4.911,8.919,0.01
1993.029,-4.89,8.938,-0.02
1993.07,-4.772,8.951,0.06
1993.111,-4.807,8.947,0.04
1993.152,-4.938,8.926,-0.03
1993.192,-4.903,8.949,-0.06
1993.233,-4.813,8.994,-0.1
1993.274,-4.661,9.024,-0.03
1993.315,-4.536,9.065,-0.02
1993.356,-4.46,9.089,-0.01
1993.396,-4.451,9.086,0.01
1993.437,-4.371,9.124,-0.02
1993.478,-4.148,9.18,0.04
1993.519,-3.991,9.225,0.08
1993.56,-3.981,9.265,-0.03
1993.6,-4.033,9.26,-0.06
1993.64,-4.087,9.23,-0.03
1993.68,-4.198,9.187,-0.03
1993.72,-4.32,9.135,0
1993.76,-4.407,9.075,0.08
1993.8,-4.505,9.051,0.05
1993.84,-4.556,9.051,0
1993.88,-4.572,9.036,0.03
1993.92,-4.596,9.025,0.03
1993.96,-4.602,9.002,0.09
1994,-4.687,8.936,0.19
1994.04,-4.823,8.88,0.21
1994.08,-4.91,8.88,0.12
1994.12,-4.955,8.907,0
1994.16,-5.014,8.917,-0.08
1994.2,-5.044,8.9,-0.07
1994.24,-5.009,8.907,-0.05
1994.28,-4.929,8.944,-0.07
1994.32,-4.809,8.985,-0.07
1994.36,-4.619,9.038,-0.03
1994.4,-4.514,9.089,-0.07
1994.44,-4.456,9.122,-0.1
1994.48,-4.348,9.137,-0.03
1994.52,-4.281,9.189,-0.11
1994.56,-4.164,9.251,-0.17
1994.6,-4.06,9.265,-0.11
1994.64,-3.972,9.279,-0.06
1994.68,-3.977,9.276,-0.05
1994.72,-4.128,9.224,-0.06
1994.76,-4.389,9.113,-0.01
1994.8,-4.559,9.015,0.09
1994.84,-4.584,8.985,0.15
1994.88,-4.586,8.99,0.14
1994.92,-4.609,8.97,0.17
1994.96,-4.71,8.951,0.13
