Age,Ba,BaCa,Ca,MgCa,Mn,Pr,Sm,SrCa,Th,UCa,Y,YHo
1853,5.495113591,0.0042668,375848.4596,3.7683861,0.798085387,5.727812059,6.528809041,9.072253,0.000643261,0.0012538,168.3866972,61.35002424
1855,2.896223682,0.0023032,366984.8631,3.9466597,5.863320503,5.60536728,2.618369744,9.0158571,0.000749062,0.001225,139.3926519,54.17550965
1857,4.041709372,0.0031835,370510.9927,4.049268,6.456710332,5.307450537,7.0140554,9.0268643,0.000819603,0.0011857,145.0246821,56.92171356
1859,3.417339191,0.0027398,364003.0375,3.9092638,8.981881061,6.932127348,6.051811315,9.0486426,0.001107133,0.0012156,162.5691329,63.00656918
1861,3.550489813,0.0028034,369613.9183,3.7239686,8.145186816,8.143251005,8.026393138,9.0395184,0.0008418,0.0012387,176.0746778,73.9434655
1863,3.053509685,0.0024003,371256.6709,3.9599129,4.204557235,6.816256436,8.704625041,9.0301002,0.001180856,0.0011808,163.9030533,58.05627048
1865,4.016568247,0.0031297,374530.445,4.0074918,9.637286288,7.201643134,8.255064614,9.0126713,0.000947632,0.0012087,164.4646441,66.30463734
1867,2.81050588,0.0022141,370443.4038,4.0803379,5.08417809,6.502735374,5.175023831,8.9951253,0.001181123,0.0012065,159.7219851,77.62437232
1869,3.349541432,0.0026525,368531.5709,4.2078031,4.231688314,6.514578131,5.456669567,9.0125064,0.000577427,0.0012053,161.2963829,62.54486427
1871,4.203894265,0.003325,368979.6846,4.2398616,2.865356526,8.277081003,7.663839336,8.9510697,0.000812055,0.0011364,174.8066408,62.22954734
1873,4.023256191,0.0032,366912.5803,4.0220975,2.006680755,8.240391999,11.19437934,8.9808286,0.000875027,0.0012081,181.2262139,60.21829367
1875,4.20613304,0.0032343,379523.497,4.0950386,3.212562689,8.407254162,8.411662725,8.9693424,0.001059578,0.0011592,185.9811383,65.58486578
1877,4.364832369,0.0033636,378707.4109,3.9090631,1.160613393,9.044373257,10.58337469,8.9809678,0.000915134,0.0011854,190.3756965,66.43984126
1879,5.575895598,0.0043811,371426.0291,4.0469439,2.294512564,8.040001378,7.511575797,8.9439153,0.000910036,0.0011766,170.9511466,56.09896104
1881,4.237752785,0.0033249,371956.879,4.0095354,3.105639028,9.961629825,6.772123645,9.0073795,0.001589548,0.0012112,188.2902654,56.02193112
1883,5.489297505,0.0042251,379160.7169,3.9404752,4.576183705,10.0742594,11.25275608,9.0075838,0.010144947,0.0012332,187.8628023,62.10783734
1885,4.831472409,0.0038306,368090.5703,3.961322,3.611527441,8.19612344,8.620227307,9.0229982,0.000844562,0.0012135,177.7746463,61.22620434
1887,4.899831951,0.0038509,371333.9222,3.8358559,2.017460107,8.121090457,7.0031222,9.063824,0.001153524,0.0012403,181.3283581,61.37871641
1889,4.553122108,0.0035793,371242.1715,3.9036489,1.676120817,8.133372349,7.715463704,9.054901,0.001431952,0.0012426,186.8263539,56.41003244
1891,4.93828438,0.0038977,369750.8022,3.8452347,1.747895664,11.15071727,11.45051108,9.0514986,0.001256335,0.0012193,214.2728348,57.10108878
1893,4.291952749,0.0033598,372807.7676,3.9578736,1.771867646,10.81634146,9.602128839,9.0015734,0.000802769,0.0011949,194.0331435,56.93548576
1895,6.419036666,0.0051856,361254.5116,3.9492205,1.530681835,11.3365697,11.23807616,9.0565794,0.000910044,0.0012257,211.7500775,63.19578505
1897,5.723599611,0.0044561,374846.5265,3.9798782,1.333265121,11.08680206,11.59613142,8.9949153,0.000875582,0.0011925,223.4481052,62.28652528
1899,5.242275006,0.0041592,367829.8373,3.7035735,1.206992675,10.51501443,10.52278745,9.068211,0.000845119,0.0012781,214.2296103,55.48720233
1901,4.923592268,0.0038175,376394.7794,4.0275315,0.663537119,9.810763801,6.135977997,8.9985889,0.001933234,0.0011766,183.1577814,60.41642501
1903,5.348904846,0.0043228,361112.4307,3.8559055,0.774427846,10.52948923,9.976782471,9.0595409,0.001160431,0.0012446,196.0091464,55.57341084
1905,4.269181596,0.0034287,363379.1801,4.1528279,0.474097246,9.688588931,10.70358943,9.0585712,0.001210898,0.0012408,183.4546225,51.73237068
1907,4.653826498,0.0037972,357672.268,4.0282277,0.412247933,9.955210099,8.223595839,9.0296546,0.000936631,0.0012171,205.9456642,51.52530565
1909,5.465094517,0.0042482,375438.0094,4.0955538,0.502710795,9.027581977,8.425859331,8.9663713,0.00078542,0.001185,182.9388709,64.73823453
1911,4.261956309,0.0034373,361848.4591,4.0399942,0.49045565,11.59311877,10.95951901,8.9721478,0.000827875,0.0011461,202.298751,59.53583034
1913,4.548051877,0.0036243,366222.7285,3.9580292,0.474256736,9.519074014,10.62163134,9.1020331,0.001042862,0.0012386,205.0661025,53.82124476
1915,3.45440683,0.0027784,362837.2698,4.1240124,0.466189906,7.76351156,10.07050601,9.0136973,0.000773786,0.0012051,179.7433177,54.41107589
1917,4.681306966,0.0037323,366037.9878,4.1144863,0.43527566,9.942090747,7.903864043,8.9881242,0.000988969,0.0012006,195.3568012,60.94547683
1919,6.447189009,0.0052185,360548.2636,3.9673046,0.447471314,10.24011346,10.21619438,9.0098307,0.001155472,0.0012469,196.5679576,65.89553617
1921,4.878916154,0.0038856,366444.5836,4.0393554,0.422202771,8.269527854,10.09789667,8.9804106,0.000717074,0.0012179,186.0945925,53.99188137
1923,3.600383593,0.0028395,370040.3525,4.0471514,0.502767262,7.842102716,7.787856307,8.9561981,0.000558941,0.0012012,174.0305335,63.7748811
1925,6.024058006,0.0047868,367269.3041,3.9822083,0.451541678,8.844954557,9.620528087,9.0218552,0.001049009,0.0012337,197.7384066,60.27166925
1927,5.020262604,0.0039315,372652.3826,3.9890647,0.644871561,10.15000408,10.5025371,9.0001294,0.00098819,0.0012326,204.045545,57.12551004
1929,5.856319374,0.0045874,372559.3585,3.757806,0.770059351,10.4339549,9.441153622,9.043604,0.000567384,0.0012984,217.3150939,63.05230174
1931,4.941996666,0.0040898,352650.0806,4.0717265,0.674763329,8.700048821,7.286071909,8.9913359,0.000734646,0.0012234,177.7214356,63.36884224
1933,4.32888709,0.0035024,360703.2366,3.9217989,0.843564711,9.317957661,6.293074305,8.987809,0.000692539,0.0012158,182.6692905,67.03495656
1935,7.082793672,0.0057546,359194.9728,3.917383,0.528909926,8.461641528,7.242124414,9.0223858,0.000592677,0.0012184,182.8899884,55.4189561
1937,5.428439441,0.0043128,367326.5957,4.0185698,0.556214412,10.14626348,8.470490349,8.9570577,0.001037051,0.0011975,195.4414895,60.1635662
1939,3.365530611,0.0026696,367909.091,3.6138291,0.649951314,9.019245917,10.9377403,8.9804352,0.000807877,0.0013076,195.4786901,60.63810159
1941,5.302801435,0.0042276,366062.3665,3.6845361,0.529574324,10.54697178,12.26236335,8.9999349,0.001081622,0.001291,239.9071417,58.8315319
1943,5.152063718,0.0042347,355060.1049,4.0888227,0.543289772,8.993067307,7.907454837,8.8955775,0.000763274,0.0011562,191.6748059,56.18507699
1945,3.9161466,0.0030754,371616.6633,4.0394185,0.574527599,10.32354726,9.020716554,8.916627,0.001048843,0.001154,206.4231554,55.39820678
1947,4.387331859,0.0034186,374538.6421,3.8461582,0.945158924,11.82683412,9.651104246,8.9351023,0.001373828,0.0012522,243.1958331,52.82634803
1949,3.393907314,0.0026751,370257.6349,4.0132955,1.450626126,10.58969295,11.28572263,8.9194631,0.000925494,0.0011799,205.0317351,54.5846684
1951,3.827626511,0.0030509,366133.8942,4.080696,1.15086292,12.24815374,12.57501809,8.932251,0.000983065,0.0012007,222.0267475,55.65445527
1953,4.013769615,0.0030414,385135.8789,4.0776663,1.178678988,11.29285049,10.23094023,8.9455103,0.000989524,0.0012194,225.7712644,60.30813003
1955,3.683289336,0.0030037,357868.3556,4.0330068,0.550296604,13.21466541,11.66914595,8.9547303,0.000821255,0.0011995,220.5506085,56.68559924
1957,3.879263709,0.0029476,384081.8119,4.0729769,0.645896373,10.12015307,9.957963683,8.9189685,0.000913275,0.0011913,226.9935282,66.46498453
1959,4.853938071,0.0036526,387817.9566,3.9116798,0.6147386,14.42979674,11.08377419,8.9459835,0.003249144,0.0012438,238.2311482,57.13751217
1961,3.449190901,0.002812,368266.3165,4.0310831,0.604715364,10.36032743,7.731121789,8.8896618,0.001683576,0.0011867,199.5214368,66.37416412
1961,3.646519004,0.0027334,378451.7391,4.0219299,0.632530564,9.367578038,11.24296304,8.8872954,0.000949121,0.0012094,198.6824064,62.47486649
1963,10.55236652,0.0085209,361415.8279,4.0524925,0.505969978,8.88440677,10.56590338,8.9322451,0.000969955,0.0012035,192.8569708,58.67653077
1965,3.9003001,0.0030541,372694.2014,3.8715926,0.408043468,8.75547872,8.955196249,8.962207,0.000607176,0.0012715,197.9086123,59.16437096
1967,3.48388396,0.0027268,372859.2522,3.9303933,0.444781324,8.061739495,10.1821058,8.9585859,0.000876407,0.0012396,204.7266932,55.21943152
1969,3.699943436,0.0029099,371074.3689,3.8636806,0.37773342,11.71957436,8.642278743,8.9801475,0.000715794,0.0012488,216.1628709,55.78406893
1971,3.876400058,0.0030033,376678.9144,3.7970331,0.449713936,9.948277063,16.41865114,8.9521645,0.000975495,0.0013117,206.5639338,57.93227038
1973,4.190553422,0.0032727,373689.1173,4.0363439,0.47246314,12.00424759,12.50751182,8.8979258,0.000754369,0.0011968,229.9162513,60.52668721
1975,4.540819389,0.0035209,376378.8708,4.0601797,0.508912135,13.31366749,13.59883432,8.891252,0.000693029,0.0011995,241.559243,58.51953327
1977,4.326238182,0.0033791,373636.9724,4.0036168,0.490060927,13.54811855,12.42108004,8.9358433,0.001296176,0.0012346,238.8338214,56.14758848
1979,4.944579769,0.0038683,373031.8305,4.0994825,0.470033439,11.29176054,8.085002551,8.9003029,0.001107818,0.0012234,231.074036,56.75713117
1981,5.084029739,0.0038417,386216.0061,4.0204521,0.45670012,12.40765521,8.418628578,8.9892644,0.000800696,0.0012425,241.0330195,59.89592728
1983,4.913040733,0.0037198,385452.1279,4.0069078,0.469049128,11.90997756,9.427969662,8.9486739,0.001181019,0.0012439,241.2792421,54.0523473
1985,9.101045147,0.0066456,399663.5287,4.0872444,0.515602519,11.22783682,11.2633763,8.9313049,0.001561433,0.0012358,223.110044,68.34150383
