Age,BaCa,Ce,CeCe_anom,Dy,Er,Eu,Gd,Ho,La,Lu,MnCa,Nd,NdYb_paas,Pr,REEsCa,Sm,SrCa,Tb,Tm,Y,Yb,YCa,YHo
1995.086301,0.0034,16.91,0.38,9.04,7.33,1.41,8.14,2.32,29.3,1.75,0.00087,21.35,0.185,5.22,0.000000345,5.41,8.9,1.25,1.21,127.93,9.58,0.000165,55.14
1995.163014,0.00284,17.06,0.39,8.79,6.89,1.31,7.45,2.11,27.71,1.56,0.00103,21.35,0.216,5.17,0.000000331,4.95,8.91,1.18,1.17,123.03,8.22,0.00016,58.31
1995.247945,0.00278,16.9,0.39,8.63,7.68,1.65,7.78,2.27,29.71,1.6,0.00111,23.64,0.206,5.44,0.000000349,5.54,8.9,1.31,1.35,130.61,9.57,0.000167,57.54
1995.330137,0.00267,18.52,0.43,8.88,7.28,1.38,7.44,2.29,28.88,1.8,0.00074,22.75,0.199,5.35,0.000000357,5.1,8.99,1.31,1.26,128.82,9.5,0.00017,56.25
1995.415068,0.00236,21,0.4,10.83,8.34,1.62,9.75,2.62,34.29,2.05,0.00059,26.79,0.205,6.36,0.0000004,7.27,9.06,1.58,1.4,146.74,10.88,0.000183,56.01
1995.49726,0.00196,21.75,0.37,10.88,8.5,1.78,9.54,2.71,34.04,1.91,0.00049,26.98,0.206,6.75,0.000000407,6.97,9.18,1.48,1.38,143.77,10.87,0.000181,53.05
1995.582192,0.00179,23.46,0.46,12.34,8.79,1.84,10.31,2.75,33.82,1.88,0.00053,26.96,0.212,6.32,0.000000427,5.94,9.35,1.62,1.58,143.99,10.59,0.000187,52.36
1995.667123,0.00218,22.66,0.45,10.83,8.79,1.88,10.41,2.64,34.01,2.01,0.00049,28.16,0.197,6.39,0.000000416,6.53,9.19,1.5,1.52,148.17,11.88,0.000186,56.13
1995.749315,0.00249,22.04,0.45,11.16,8.72,1.65,10.11,2.67,36.3,1.98,0.00077,27.32,0.215,6.24,0.000000389,6.59,9.01,1.54,1.39,146.72,10.59,0.000173,54.95
1995.834247,0.00275,16.68,0.47,8.94,6.79,1.25,7.71,1.9,26.75,1.44,0.00093,22.14,0.213,4.78,0.000000345,4.57,8.88,1.05,1.24,114.22,8.65,0.000156,60.12
1995.916438,0.00289,20.28,0.39,8.88,6.99,1.7,9.57,2.14,32.8,1.62,0.00081,23.73,0.212,5.94,0.00000036,7.02,8.92,1.3,1.2,131.7,9.3,0.000161,61.54
1996.001366,0.00239,17.58,0.42,8.67,6.92,1.57,7.94,2.18,30.75,1.69,0.00082,22.23,0.22,5.21,0.000000341,5.62,8.86,1.26,1.2,128.31,8.4,0.000163,58.86
1996.086066,0.00245,14.94,0.37,7.17,5.39,1.15,6.62,1.82,25,1.23,0.00176,19.15,0.216,4.73,0.000000324,4.75,8.77,0.96,0.88,106.58,7.39,0.000154,58.56
1996.165301,0.00245,18.5,0.4,9.29,7.39,1.38,8.22,2.34,30.05,1.71,0.00066,23.82,0.222,5.65,0.00000035,5.65,8.88,1.22,1.15,129.6,8.93,0.000163,55.38
1996.25,0.0024,20.13,0.42,10.24,7.86,1.68,8.94,2.37,32.61,1.77,0.00094,24.86,0.214,5.9,0.000000365,6.35,8.99,1.37,1.28,137.15,9.68,0.000167,57.87
1996.331967,0.00218,18.54,0.39,9.24,7.24,1.55,8.71,2.19,30.46,1.64,0.00063,22.96,0.217,5.58,0.000000344,5.78,9.06,1.31,1.2,126.79,8.81,0.000157,57.89
1996.416667,0.00206,16.7,0.38,8.27,6.2,1.45,8,1.99,27.29,1.46,0.00052,22.21,0.237,5.31,0.000000337,5.64,9.15,1.27,1.13,113.06,7.81,0.00015,56.81
1996.498634,0.00215,19.28,0.41,8.94,7.23,1.4,7.95,2.16,29.33,1.64,0.00058,22.57,0.218,5.57,0.000000354,5.77,9.27,1.33,1.11,122.18,8.62,0.000159,56.56
1996.583333,0.00182,18.36,0.46,9.2,6.84,1.46,8.23,2.13,28.37,1.51,0.00067,22.12,0.215,5.08,0.000000335,5.2,9.08,1.28,1.11,119.89,8.54,0.000152,56.29
1996.668033,0.00162,18.54,0.43,9,6.84,1.33,8.25,2.09,28.08,1.48,7.00E-04,22.14,0.225,5.28,0.000000331,5.63,8.92,1.24,1.15,122.01,8.19,0.000153,58.38
1996.75,0.00162,18.77,0.42,8.37,6.61,1.25,7.86,2.27,27.84,1.39,0.00123,22.43,0.238,5.38,0.000000335,4.91,8.89,1.2,1.1,118.58,7.84,0.000153,52.24
1996.834699,0.00207,19.5,0.39,8.63,7.24,1.48,8.31,2.24,31.07,1.56,0.00095,22.65,0.21,5.7,0.000000341,6.18,8.88,1.25,1.08,129.31,8.97,0.000158,57.73
1996.916667,0.00265,20.23,0.41,9.16,6.66,1.42,8.84,2.15,31.89,1.43,0.00068,23.45,0.238,5.81,0.000000366,5.94,8.81,1.32,1.12,124.46,8.2,0.000161,57.89
1997.00137,0.00204,20.51,0.37,10.8,6.88,1.51,9.07,2.37,34.44,1.52,0.00088,26.39,0.257,6.5,0.000000394,5.67,8.83,1.24,1.15,127.82,8.54,0.000166,53.93
1997.086301,0.00278,21.09,0.41,9.94,7.48,1.57,9.23,2.33,36.24,1.69,0.00091,27.85,0.249,6.46,0.000000445,7.58,8.96,1.56,1.28,132.62,9.29,0.000185,56.92
1997.163014,0.00332,22.71,0.39,10.21,8.12,1.64,10.2,2.51,38.06,1.82,0.00086,30.49,0.258,7.13,0.000000456,7.52,9.11,1.74,1.35,141.41,9.83,0.000189,56.34
1997.247945,0.00287,23.1,0.38,10.61,8.66,1.78,10.72,2.65,38.7,1.76,0.00066,30.7,0.252,7.38,0.000000455,7.1,9.29,1.73,1.39,149.4,10.15,0.000196,56.38
1997.330137,0.00229,22.84,0.39,10.31,8.62,1.88,10.45,2.62,37.42,1.78,0.00054,29.12,0.238,7.04,0.000000442,6.57,9.35,1.66,1.39,150.03,10.18,0.000197,57.26
1997.415068,0.00199,21.41,0.39,9.71,8.02,1.77,9.92,2.47,34.1,1.76,0.00057,26.64,0.235,6.5,0.000000406,6.33,9.27,1.56,1.31,139.77,9.44,0.000181,56.59
1997.49726,0.00158,20.17,0.37,9.75,7.62,1.57,9.78,2.39,31.49,1.51,0.00066,24.62,0.246,6.27,0.000000374,6.48,9.22,1.42,1.23,128.26,8.31,0.000163,53.67
1997.582192,0.00202,26.54,0.51,9.67,7.86,1.68,9.35,2.46,35.13,1.74,0.00107,26.26,0.24,6.29,0.000000413,6.03,9.31,1.44,1.26,133.23,9.1,0.000171,54.16
1997.667123,0.00256,19.95,0.43,8.82,7.24,1.38,8.78,2.42,32.62,1.44,0.00088,24.57,0.247,5.75,0.000000354,5.72,8.96,1.32,1.18,128.41,8.27,0.000158,53.06
1997.749315,0.00256,17.28,0.4,8.74,6.95,1.28,7.7,2.1,29.73,1.36,0.00124,22.49,0.253,5.31,0.000000328,5.71,8.85,1.16,1.09,119.98,7.4,0.00015,57.13
1997.834247,0.00264,19.38,0.35,9.34,7.94,1.6,9.4,2.37,36.91,1.58,0.00171,25.16,0.229,6.32,0.000000376,6.31,8.98,1.4,1.22,137.45,9.12,0.000169,58
1997.916438,0.00271,22.84,0.4,10.35,8.81,1.81,10.06,2.78,44.09,1.8,0.00245,33.6,0.282,7.49,0.000000484,7.63,8.88,1.65,1.43,150.22,9.91,0.000199,54.04
1998.00137,0.00323,20.34,0.37,9.8,7.84,1.73,8.32,2.39,36.22,1.66,0.00176,26.82,0.246,6.56,0.000000408,6.99,8.7,1.43,1.21,137.99,9.08,0.000181,57.74
1998.086301,0.00364,19.2,0.37,9.43,7.59,1.68,8.31,2.39,34.64,1.57,0.00151,25.85,0.247,6.26,0.00000039,6.49,8.76,1.39,1.14,133.35,8.69,0.000174,55.79
1998.163014,0.0035,18.06,0.36,9.07,7.33,1.63,8.31,2.38,33.06,1.48,0.00125,24.88,0.249,5.97,0.000000372,5.98,8.82,1.35,1.07,128.71,8.31,0.000168,54.08
