Age,Ba138Ca,BaCa,SrCa,UCa
1795.91,0.00375343,0.00388562,8.7992,0.00121936
1795.926,0.00414087,0.00403972,8.73705,0.00124692
1795.942,0.00357631,0.00378379,8.76046,0.00113892
1795.958,0.00400818,0.00389537,8.7809,0.00127308
1795.975,0.00413812,0.00416067,8.85701,0.00128121
1795.991,0.00411583,0.00410555,8.84842,0.00123509
1796.007,0.00402855,0.00413416,8.65615,0.00119396
1796.023,0.0040781,0.00405735,8.73384,0.00112036
1796.04,0.00431249,0.00415184,8.83715,0.00131931
1796.056,0.00418614,0.00417704,8.85233,0.00127124
1796.072,0.00426235,0.00424571,8.86732,0.00127195
1796.088,0.00430874,0.00417258,8.84929,0.00130178
1796.104,0.00457884,0.00440272,8.85167,0.00131987
1796.124,NA,NA,8.85399,0.00135534
1796.144,0.00433444,0.00424129,8.57963,0.00108061
1796.164,0.00417544,0.00428791,8.72834,0.00116443
1796.184,0.00410765,0.00420027,8.74994,0.00137239
1796.204,0.00450406,0.0043992,9.15276,0.00148637
1796.224,0.00413638,0.00418284,8.96141,0.00137138
1796.244,0.00414553,0.00415698,8.75128,0.00129858
1796.264,0.00429959,0.00427243,8.8412,0.00122415
1796.283,0.00438812,0.00428162,8.86004,0.00124435
1796.303,0.00404323,0.0041309,9.09637,0.00147884
1796.323,0.00408063,0.00390571,9.11373,0.00148852
1796.343,0.00398166,0.00404839,9.15469,0.00149698
1796.363,0.00394973,0.00388718,9.01833,0.0014419
1796.383,0.00387971,0.00382437,8.91102,0.00140954
1796.403,0.00419922,0.00395227,8.93396,0.00133091
1796.423,0.00403183,0.00393833,9.11148,0.00146187
1796.443,0.00375185,0.00385538,8.975,0.00144371
1796.462,0.00378996,0.00382707,8.9758,0.00137201
1796.482,0.00384305,0.00378848,8.98719,0.00143547
1796.502,0.0036709,0.00376351,8.80528,0.00133945
1796.522,0.00358941,0.00374527,8.73396,0.00125727
1796.542,0.00373815,0.00387553,8.95807,0.00131782
1796.562,0.0037438,0.00371444,8.83055,0.00132652
1796.582,0.00379555,0.00386521,8.84695,0.0013604
1796.602,0.00346829,0.00359345,8.66191,0.00120716
1796.624,0.00394462,0.00382432,8.70325,0.00111094
1796.645,0.00378565,0.00382465,8.79142,0.00130284
1796.667,0.00394837,0.00387578,8.86726,0.00120323
1796.689,0.00365957,0.00363687,8.63199,0.00118033
1796.711,0.00392834,0.00382814,8.70717,0.0011731
1796.733,0.00384398,0.00376815,8.77914,0.00114147
