Age,BaCa,Lumin
1955.154,NA,0.644677
1955.173,NA,0.64565
1955.192,NA,0.638752
1955.212,NA,0.624999
1955.231,NA,0.546818
1955.25,NA,0.538203
1955.269,NA,0.565045
1955.288,NA,0.58856
1955.308,NA,0.584465
1955.327,NA,0.553679
1955.346,NA,0.502953
1955.365,NA,0.509666
1955.385,NA,0.464028
1955.404,NA,0.444514
1955.423,NA,0.437555
1955.442,NA,0.39844
1955.462,NA,0.405251
1955.481,NA,0.416037
1955.5,NA,0.434182
1955.519,NA,0.446582
1955.538,NA,0.450848
1955.558,NA,0.438677
1955.577,NA,0.423484
1955.596,NA,0.422552
1955.615,NA,0.425599
1955.635,NA,0.431401
1955.654,NA,0.431086
1955.673,NA,0.428226
1955.692,NA,0.42203
1955.712,NA,0.420899
1955.731,NA,0.425158
1955.75,NA,0.429606
1955.769,NA,0.438587
1955.788,NA,0.436601
1955.808,NA,0.432533
1955.827,NA,0.431154
1955.846,NA,0.427287
1955.865,NA,0.430059
1955.885,NA,0.426929
1955.904,NA,0.438928
1955.923,NA,0.443633
1955.942,NA,0.444853
1955.962,NA,0.447133
1955.981,NA,0.440206
1956,NA,0.441425
1956.019,NA,0.442801
1956.038,NA,0.448822
1956.058,NA,0.456663
1956.077,NA,0.461532
1956.096,NA,0.469068
1956.115,NA,0.467943
1956.135,NA,0.470884
1956.154,NA,0.484619
1956.173,NA,0.488606
1956.192,NA,0.489674
1956.212,NA,0.478906
1956.231,NA,0.466289
1956.25,NA,0.453883
1956.269,NA,0.455976
1956.288,NA,0.467561
1956.308,NA,0.468529
1956.327,NA,0.466428
1956.346,NA,0.455051
1956.365,NA,0.433599
1956.385,NA,0.407744
1956.404,NA,0.388576
1956.423,NA,0.373341
1956.442,NA,0.369221
1956.462,NA,0.374177
1956.481,NA,0.379991
1956.5,NA,0.390198
1956.519,NA,0.411761
1956.538,NA,0.419274
1956.558,NA,0.422529
1956.577,NA,0.421078
1956.596,NA,0.414997
1956.615,NA,0.412643
1956.635,NA,0.391665
1956.654,NA,0.391505
1956.673,NA,0.402661
1956.692,NA,0.418148
1956.712,NA,0.413991
1956.731,NA,0.398922
1956.75,NA,0.391894
1956.769,NA,0.398404
1956.788,NA,0.432951
1956.808,NA,0.459575
1956.827,NA,0.480457
1956.846,NA,0.493772
1956.865,NA,0.492086
1956.885,NA,0.491561
1956.904,NA,0.487787
1956.923,NA,0.498297
1956.942,NA,0.503128
1956.962,NA,0.500121
1956.981,NA,0.488004
1957,NA,0.476196
1957.019,NA,0.460574
1957.038,NA,0.440503
1957.058,NA,0.425316
1957.077,NA,0.419593
1957.096,NA,0.422311
1957.115,NA,0.419322
1957.135,NA,0.420158
1957.154,NA,0.425874
1957.173,NA,0.425819
1957.192,NA,0.409749
1957.212,NA,0.395409
1957.231,NA,0.387869
1957.25,NA,0.383376
1957.269,NA,0.385519
1957.288,NA,0.391993
1957.308,NA,0.393753
1957.327,NA,0.380225
1957.346,NA,0.366468
1957.365,NA,0.35063
1957.385,NA,0.340659
1957.404,NA,0.326266
1957.423,NA,0.313258
1957.442,NA,0.312557
1957.462,NA,0.317422
1957.481,NA,0.328256
1957.5,NA,0.345314
1957.519,NA,0.36827
1957.538,NA,0.386509
1957.558,NA,0.399913
1957.577,NA,0.410934
1957.596,NA,0.409628
1957.615,NA,0.397583
1957.635,NA,0.389671
1957.654,NA,0.388721
1957.673,NA,0.389567
1957.692,NA,0.389905
1957.712,NA,0.394695
1957.731,NA,0.398126
1957.75,NA,0.398608
1957.769,NA,0.40402
1957.788,NA,0.411236
1957.808,NA,0.418262
1957.827,NA,0.4346
1957.846,NA,0.447448
1957.865,NA,0.457368
1957.885,NA,0.461091
1957.904,NA,0.463005
1957.923,NA,0.457025
1957.942,NA,0.452736
1957.962,NA,0.447721
1957.981,NA,0.447443
1958,NA,0.455935
1958.019,NA,0.475764
1958.038,NA,0.488991
1958.058,NA,0.497345
1958.077,NA,0.507094
1958.096,NA,0.512316
1958.115,NA,0.509102
1958.135,NA,0.483131
1958.154,NA,0.463812
1958.173,NA,0.463864
1958.192,NA,0.463002
1958.212,NA,0.442094
1958.231,NA,0.438576
1958.25,NA,0.432304
1958.269,NA,0.419063
1958.288,NA,0.419214
1958.308,NA,0.434406
1958.327,NA,0.455885
1958.346,NA,0.45529
1958.365,NA,0.448862
1958.385,NA,0.433864
1958.404,NA,0.419086
1958.423,NA,0.428647
1958.442,NA,0.439765
1958.462,NA,0.435517
1958.481,NA,0.440053
1958.5,NA,0.438337
1958.519,NA,0.388436
1958.538,NA,0.337801
1958.558,NA,0.335734
1958.577,NA,0.345706
1958.596,NA,0.33305
1958.615,NA,0.330753
