Age,d15N,d18O,Extn,Density,Calcn
1977,6.78,-4.308949017,1.6,0.985,1.576
1978,6.8,-4.217979631,1.88,0.982,1.845
1979,6.77,-4.323328965,1.473,0.97,1.43
1980,7.11,-4.252338179,1.702,0.963,1.639
1981,7.16,-4.249633817,1.626,0.912,1.482
1982,7.4,-4.313696746,1.575,0.914,1.44
1983,7.53,-4.246684112,1.626,0.989,1.608
1984,7.12,-4.270197177,1.676,1.024,1.717
1985,7.33,-4.258118986,1.499,1.004,1.505
1986,7.2,-4.284045509,1.702,0.937,1.595
1987,7.64,-4.296381385,NA,NA,NA
