Age,BaCa,Cd,Mn,MnCa,P,Y,Distance
1991.136986,0.0043238980,0.02073268,0.324054133,0.000590665,27.68377853,0.080436341,117.6594231
1991.142466,0.0047470680,0.02165007,0.303788509,0.000553726,27.14825698,0.092101653,117.4379327
1991.147945,0.0054013276,0.017873275,0.321603891,0.000586199,26.64061752,0.135066469,117.2164423
1991.156164,0.0070851873,0.015637512,0.381422345,0.000695232,21.95522248,0.104742934,116.9949519
1991.161644,0.0095938131,0.009391436,0.446033726,0.000813001,19.80815675,0.123712893,116.7734615
1991.167123,0.0121832528,0.005405155,0.685215722,0.001248967,24.19943583,0.143212595,116.5519712
1991.175342,0.0122950653,0.005708004,0.735668549,0.001340929,18.32582569,0.138360089,116.3304808
1991.186301,0.0112326972,0.005552199,0.523140028,0.000953546,14.96467763,0.112938346,116.1089904
1991.2,0.0129609470,0.009403086,0.437673092,0.000797762,17.97887395,0.110307918,115.8875
1991.213699,0.0138320102,0.01084863,0.407453817,0.00074268,15.34200471,0.10800285,115.6660096
1991.227397,0.0135964635,0.00614604,0.37787346,0.000688763,15.32975079,0.086873484,115.4445192
1991.241096,0.0103943585,0.015231373,0.274689097,0.000500685,19.89736026,0.087281608,115.2230288
1991.252055,0.0085504180,0.009924748,0.285024598,0.000519524,19.29983104,0.085847885,115.0015385
1991.265753,0.0071557230,0.009930926,0.384717051,0.000701237,16.48191565,0.076409997,114.7800481
1991.279452,0.0070356320,0.009870688,0.536934805,0.00097869,19.45677806,0.07881856,114.5585577
1991.293151,0.0066853500,0.009400895,0.507365136,0.000924792,20.14511706,0.090467487,114.3370673
1991.306849,0.0065715520,0.010249372,0.418959174,0.000763651,19.29738268,0.074144625,114.1155769
1991.320548,0.0066119838,0.007726394,0.263673071,0.000480606,15.69711831,0.072838083,113.8940865
1991.331507,0.0065391802,0.005386881,0.265589982,0.0004841,17.32825839,0.084890132,113.6725962
1991.345205,0.0064527506,0.004753771,0.244324505,0.000445339,18.71284859,0.083851539,113.4511058
1991.358904,0.0064171013,0.009290765,0.256767705,0.000468019,17.94055703,0.071083915,113.2296154
