Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Dist
1988.9172,0.002407708,0.404612685,3.635629053,0.175262638,8.95513017,0.00107881,58.58
1988.9379,0.002230376,0.38310536,3.572248902,0.140463958,8.734152206,0.00104591,58.24
1988.9586,0.002381044,0.409653406,3.606136813,0.148608289,8.773982378,0.001023082,57.9
1988.9793,0.00189291,0.407862908,3.789100548,0.334348906,8.783006183,0.000986629,57.56
1989,0.002082431,0.404672194,3.555052645,0.225085633,8.897972813,0.001014652,57.22
1989.0207,0.002096869,0.416697423,3.847502448,0.195972393,8.803032806,0.000919596,56.88
1989.0414,0.002130234,0.398516757,3.46468305,0.129583711,8.848693856,0.001035125,56.53
1989.0621,0.001977082,0.393578696,3.698552178,0.142109467,8.799821188,0.001020458,56.19
1989.0828,0.002485416,0.396050338,4.387753496,0.1405856,8.686849223,0.000935147,55.85
1989.1035,0.00227171,0.385139577,4.107944903,0.121816325,8.864526484,0.000962085,55.51
1989.1242,0.002287643,0.422336962,3.84613404,0.099108327,8.960689914,0.001085321,55.17
1989.1448,0.002127692,0.463726427,3.596479941,0.120990301,8.903096165,0.001025725,54.83
1989.1655,0.001973203,0.432531431,3.473562805,0.101358268,8.780763476,0.00103812,54.49
1989.1862,0.002079769,0.447773507,3.69535715,0.113770736,8.988703326,0.001020847,54.15
1989.2069,0.00198479,0.44584532,3.578437556,0.122478987,8.996527127,0.001069038,53.81
1989.2276,0.002038947,0.455375697,4.075615086,0.130786304,8.944250526,0.000935245,53.47
1989.2483,0.001847055,0.454791855,3.782022542,0.136713012,8.901716421,0.001031648,53.13
1989.269,0.002020686,0.469047652,4.048507523,0.145466391,8.845361819,0.001060389,52.79
1989.3172,0.001774413,0.481609036,3.68871395,0.156042889,8.907912817,0.001132841,52.44
1989.3653,0.001862611,0.491476905,3.459859141,0.179871799,9.119021763,0.00115923,52.1
1989.4135,0.001840339,0.505679882,3.520872691,0.143507287,8.947423016,0.001122015,51.76
1989.4617,0.002092077,0.508832079,3.556965849,0.097895451,9.15609925,0.001098332,51.42
1989.5098,0.002336744,0.521667521,3.367853921,0.111498955,9.146096605,0.001213931,51.08
1989.558,0.00216294,0.514855369,2.995089213,0.109803645,9.317860635,0.001257273,50.74
1989.5859,0.002217088,0.469298661,2.909701249,0.117049347,9.116419602,0.001294605,50.4
1989.6138,0.002357822,0.454359747,2.889377948,0.11157169,9.15693428,0.001247577,50.06
1989.6417,0.002539889,0.42638517,3.17183435,0.112564487,9.149813049,0.001198054,49.72
1989.6696,0.002740403,0.419641465,2.94523591,0.131894788,9.250953279,0.001279965,49.38
1989.6975,0.002997511,0.413939311,2.694573595,0.111725148,9.190226012,0.001333798,49.04
1989.7255,0.006094369,0.398840647,3.058398345,0.173494403,8.953870207,0.001268585,48.87
1989.7534,0.006840298,0.417555984,3.221772509,0.277081355,9.115763425,0.001244539,48.62
1989.7813,0.006050881,0.413751123,3.077628879,0.203715084,8.998513648,0.001219665,48.31
1989.8092,0.004615432,0.44664565,3.270005273,0.140060496,8.949010589,0.001162281,48
1989.8371,0.003812602,0.416527695,3.360279228,0.187703622,8.864244904,0.001101008,47.69
1989.865,0.004173674,0.421810484,3.385991486,0.15759834,8.820110737,0.001055939,47.38
1989.8829,0.003881456,0.425646884,3.444904513,0.150216247,8.879550987,0.001041736,47.07
1989.9007,0.003882287,0.410007977,3.035180623,0.150558867,8.857548156,0.001112342,46.76
1989.9186,0.003818982,0.408369597,2.925057398,0.162021868,8.906647317,0.001134006,46.46
1989.9364,0.003853569,0.424583498,3.236473519,0.148531431,8.966442052,0.001138998,46.15
1989.9543,0.003483159,0.410749547,3.425664166,0.173577258,8.84861581,0.001109205,45.84
1989.9721,0.003351171,0.394330084,3.505931115,0.148594209,8.814732859,0.001108436,45.53
1989.99,0.003683166,0.395633137,3.4960494,0.146815025,8.840620012,0.001104629,45.22
1990.0079,0.003312632,0.375139104,3.121847815,0.156589698,8.913903879,0.001170486,44.91
1990.0257,0.003932134,0.394136141,3.590753494,0.130648994,8.831640935,0.001064223,44.6
1990.0436,0.003634395,0.383400913,3.361206186,0.126774984,8.84268731,0.00111103,44.29
1990.0614,0.004319714,0.387861538,3.023935974,0.131963183,8.948958527,0.001175098,43.99
1990.0793,0.003289475,0.396196343,3.13628644,0.133900114,8.781534509,0.001142124,43.68
1990.0971,0.002639408,0.420408793,3.88016755,0.10275579,8.726826079,0.000926378,43.37
1990.115,0.002584939,0.430016852,4.05711976,0.107216304,8.608557521,0.000897112,43.06
1990.1406,0.002505579,0.439551158,4.287398978,0.114449893,8.697883503,0.000888722,42.75
