Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Distance
1987.323187,0.002716187,0.002502696,0.400754225,0.000557566,4.96E-07,42.03886856,3.00E-05,64.69340326,4.66E-05,0.005417213,5.571428088,3.19E-06,2.919286872,0.354599443,0.000645997,1.25571488,0.000100499,0.004057505,14.07393872,1.00E-05,9.049503883,0.001463684,289.772143,28.11026792,1.63E-05,0.000326205,0.001410525,214.36925
1987.343077,0.004702681,0.004960804,0.438848116,-0.000954163,-8.50E-07,87.42344521,6.24E-05,96.11605762,6.93E-05,0.005862636,4.068595077,2.33E-06,3.133408957,0.352572843,0.000642305,2.906809328,0.000115105,0.009392573,18.31437117,1.30E-05,9.238658216,0.001486282,267.200707,29.41135862,1.70E-05,0.000300796,0.001210078,214.075132
1987.362967,0.002130442,0.002358246,0.426222087,0.001486689,1.32E-06,34.7301548,2.48E-05,55.08394384,3.97E-05,0.00583061,5.398879628,3.09E-06,3.0019874,0.366589915,0.000667841,-0.561082545,6.77E-05,-0.001812987,10.21311206,7.25E-06,9.230661673,0.001520468,244.558571,22.0713352,1.28E-05,0.000275307,0.000894209,213.781014
1987.382857,0.003218535,0.003184178,0.410051285,0.000978306,8.71E-07,33.7185173,2.41E-05,54.87410341,3.95E-05,0.005755739,5.415780644,3.10E-06,3.199729252,0.403357762,0.000734823,1.20487207,0.000116335,0.00389322,10.48979449,7.45E-06,9.187816662,0.001522702,225.491023,17.89101584,1.03E-05,0.000253842,0.00154871,213.486896
1987.402747,0.003082931,0.003219553,0.428063631,0.014377537,1.28E-05,36.56438568,2.61E-05,53.18977082,3.83E-05,0.005396623,3.992381977,2.28E-06,3.067195459,0.344880289,0.000628291,1.705622311,9.54E-05,0.00551126,10.33950027,7.34E-06,9.114804065,0.001458803,218.586207,19.92182338,1.15E-05,0.000246069,0.001324934,213.192778
1987.422637,0.002690984,0.002667891,0.427202237,0.00479956,4.27E-06,43.95343991,3.14E-05,64.31236863,4.63E-05,0.005277884,3.919683483,2.24E-06,2.514694242,0.217916307,0.000396992,-0.889642861,5.87E-05,-0.002874642,13.37067487,9.50E-06,9.264737103,0.001650574,266.119559,25.23221445,1.46E-05,0.000299579,0.000863187,212.89866
1987.442527,0.003601235,0.003215091,0.446869179,0.002373436,2.11E-06,57.67662626,4.12E-05,73.26214994,5.28E-05,0.005676509,6.452574581,3.69E-06,2.88338202,0.293489524,0.000534669,1.4098337,9.85E-05,0.004555499,14.30295032,1.02E-05,9.297154146,0.00149066,255.906267,28.04052555,1.62E-05,0.000288081,0.001628289,212.604542
1987.462417,0.002976231,0.003046781,0.466943344,0.010028127,8.93E-06,53.21864939,3.80E-05,75.82971755,5.46E-05,0.005603554,5.484740994,3.14E-06,2.667774187,0.250832194,0.000456957,1.65889186,0.000110769,0.005360263,13.60681782,9.66E-06,9.363530807,0.001593314,269.76389,21.17042458,1.22E-05,0.000303681,0.001317389,212.310424
1987.482307,0.003227411,0.003344809,0.453524228,0.008618731,7.67E-06,58.7556569,4.20E-05,90.38108674,6.51E-05,0.005438082,6.324431768,3.62E-06,2.339017111,0.197094477,0.00035906,1.524687955,8.22E-05,0.004926619,16.67422917,1.18E-05,9.490646726,0.001618344,316.742804,28.48056575,1.65E-05,0.000356567,0.001537158,212.016306
1987.502197,0.003850313,0.00345128,0.424624685,-0.004381929,-3.90E-06,48.24750964,3.45E-05,75.08897651,5.41E-05,0.005146867,5.575478979,3.19E-06,2.106355613,0.182532679,0.000332532,-0.317246683,6.49E-05,-0.001025097,12.11851238,8.61E-06,9.400017439,0.001749401,255.180096,22.23722977,1.29E-05,0.000287264,0.000807296,211.722188
