Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
2001.086301,0.00337,13.38,5.8,5.13,0.98,4.62,1.57,18.38,1.17,13.43,3.5,3.41,0.85,0.89,138.32,6.24,0.85
2001.163014,0.00402,15.87,7.54,6.38,1.14,5.37,1.85,23.91,1.54,16.14,3.74,3.44,0.98,1.13,159.08,8.07,0.78
2001.20137,0.00421,16.26,6.49,5.73,1.21,6.19,1.72,23.38,1.28,15.36,3.72,3.74,0.94,1.03,150.22,7.28,1.52
2001.247945,0.00453,14.83,6.54,5.13,1.13,4.86,1.61,20.2,1.18,13.16,3.43,2.86,0.79,0.86,128.7,6.68,1.91
2001.286301,0.00459,10.99,5.95,4.68,0.98,4.48,1.5,16.96,1.08,11.45,2.7,2.69,0.79,0.89,117.99,5.45,1.6
2001.330137,0.0043,10.9,5.38,4.54,0.92,4.28,1.36,15.37,0.96,11.28,2.63,2.27,0.81,0.71,111.57,5.58,1.54
2001.368493,0.00431,10.85,5.55,4.62,0.96,4.2,1.32,15.38,0.95,10.97,2.81,2.67,0.68,0.65,111.27,5.72,1.34
2001.415068,0.00385,11.33,5.25,4.14,0.88,4.17,1.36,17.09,0.95,10.71,2.57,2.4,0.7,0.72,108.81,5.21,1.26
2001.453425,0.00362,19.8,5.45,4.73,1.14,4.78,1.46,19.01,1.03,14.85,3.49,3.32,0.76,0.72,120.19,6.08,1.8
2001.49726,0.00385,12.2,5.55,4.52,0.91,4.44,1.38,15.79,1.08,12.52,2.75,2.55,0.69,0.92,110.55,5.64,14.36
2001.582192,0.00471,14.65,5.71,5.12,1.28,5.5,1.51,18.17,1.12,13.44,3.3,3.13,0.78,0.81,117.22,6.43,1.4
2001.667123,0.00509,20.41,5.58,4.44,1.18,5.65,1.41,19.71,1.23,14.49,3.72,3.6,0.79,0.78,113.43,5.98,2.29
2001.749315,0.00479,20.1,6.07,4.81,1.15,4.43,1.38,19.58,1.13,12.8,2.94,2.61,0.85,0.88,121.85,6.86,1.49
2001.834247,0.00469,14.62,5.23,4.6,1.06,3.95,1.39,17.25,1.04,11.15,2.8,2.58,0.75,0.72,111.97,6.46,1.62
2001.916438,0.00469,13.49,5.77,5.01,1.1,4.83,1.42,18.26,1.38,12.28,3.05,3.62,0.7,0.88,124.52,7,2.18
2001.954795,0.00448,14.91,5.58,4.95,1.01,4.76,1.39,18.24,1.2,12.33,2.95,3.31,0.8,0.85,120.42,6.85,2.18
2002.00137,0.00438,12.49,5.33,5.02,1,4.39,1.47,16.45,1.11,11.53,2.51,2.92,0.86,0.84,111.87,6.98,1.5
2002.086301,0.00451,13.03,6.02,4.84,0.9,4.57,1.53,17.23,1.3,11.72,2.87,3.07,0.78,0.9,113.97,6.7,8.19
2002.163014,0.00455,13.05,6.6,5.18,1,4.96,1.6,18.65,1.3,13.68,2.96,3.05,0.75,1,124.24,6.92,1.56
2002.247945,0.00504,14.65,6.35,5.32,1.18,5.19,1.66,20.44,1.25,14.53,3.4,3.48,0.87,0.95,123.91,7.67,1.21
2002.330137,0.00464,19.9,6.5,7.18,1.18,5.61,1.64,22.67,1.27,15.44,3.85,3.82,0.96,1.06,131.11,7.28,1.37
2002.49726,0.00436,17.1,6.48,5.42,1.19,5.53,1.58,18.91,1.21,13.93,3.36,3.03,0.77,0.9,121.89,6.61,1.36
2002.582192,0.00405,15.71,5.3,5.12,0.91,4.51,1.4,17.27,1.08,12.02,2.94,2.64,0.79,0.76,108.15,5.72,1.62
2002.667123,0.00384,12.63,4.83,4.29,0.88,4.33,1.33,15.36,0.97,10.13,2.95,2.83,0.68,0.72,107.69,6.39,0.87
2002.749315,0.00431,10.66,4.64,3.82,0.98,3.59,1.21,13.07,0.91,10.11,2.43,2.48,0.64,0.69,98.4,5.16,1.24
2002.834247,0.00509,16.58,7.08,5.82,1.33,5.81,1.84,20.28,1.45,14.11,3.69,3.84,0.94,1.02,133.41,8.29,1.62
2002.916438,0.0045,19.65,7.21,6.74,1.26,5.68,1.72,20.32,1.39,13.76,3.46,3.82,0.87,1.07,134.89,8.36,2.43
2002.954795,0.00441,20.61,6.82,6.72,1.18,5.76,1.72,20.95,1.47,15.36,3.57,3.15,0.96,1.13,128.99,8.07,1.62
2003.00137,0.00455,25.22,8.04,7.94,1.26,5.91,2.15,27.78,1.78,17.69,4.37,4.32,1.04,1.42,153.44,10.14,1.88
2003.086301,0.00456,25.75,9.32,8.23,1.31,7.05,2.26,28.34,1.98,18.42,4.66,4.54,1.19,1.29,156.71,10.92,2.08
2003.163014,0.00477,21.09,7.86,7.06,1.14,6.39,1.98,26.18,1.6,17.17,4.34,4.12,1.09,1.16,143.92,9.78,1.31
2003.247945,0.00534,30.02,7.89,9.58,1.63,7.52,2.27,28.77,1.91,19.7,4.8,4.49,1.19,1.49,160.96,10.82,1.8
2003.330137,0.00572,25.27,9.3,8.55,1.45,7.75,2.5,29.41,2.05,20.67,5.43,4.76,1.35,1.4,176.4,11.94,2.12
2003.415068,0.00552,26.23,9.25,8.79,1.58,7.83,2.36,29.93,1.9,19.64,4.75,4.72,1.23,1.34,164.52,10.43,2.44
