Age,BaCa,MgCa,SrCa,UCa,YCa
2005.44,0.0175853,4.1215,9.1614,0.0012969,4.56E-05
2005.48,0.0178656,4.2082,9.1096,0.0012493,4.77E-05
2005.52,0.019078,4.1659,9.1507,0.001252,4.12E-05
2005.56,0.018497,4.0704,9.1856,0.0012519,4.71E-05
2005.6,0.0192756,4.0819,9.2024,0.001315,4.95E-05
2005.64,0.0185388,4.0924,9.1848,0.0012841,4.87E-05
2005.69,0.016651,4.0424,9.1438,0.0012742,4.80E-05
2005.73,0.0166944,3.9876,9.1191,0.0013242,5.37E-05
2005.78,0.016971,4.1003,9.1182,0.001298,4.99E-05
2005.82,0.0167293,4.314,9.0277,0.001223,5.30E-05
2005.87,0.0165543,4.2769,9.0263,0.0012362,4.82E-05
2005.91,0.0163194,4.8686,9.0065,0.0012391,6.25E-05
2005.96,0.0151126,4.4777,8.9844,0.0012136,4.90E-05
2006.01,0.0131447,4.4882,8.987,0.0012442,4.97E-05
2006.05,0.0133433,4.3768,8.9372,0.0012202,4.98E-05
2006.1,0.0123576,4.418,8.867,0.0012389,4.82E-05
2006.14,0.0121477,4.1158,8.9676,0.0013055,5.39E-05
2006.19,0.0118599,4.1491,8.9939,0.0013193,5.06E-05
2006.23,0.0132517,4.108,9.0329,0.0012946,4.65E-05
2006.28,0.0132045,4.4693,9.0041,0.0012227,4.44E-05
2006.32,0.020766,4.3876,9.0814,0.0012709,5.69E-05
2006.37,0.0182913,3.9406,9.1594,0.0013048,4.57E-05
2006.41,0.0165752,3.9528,9.1769,0.0013092,4.64E-05
2006.46,0.0164347,4.1286,9.1701,0.0012725,4.93E-05
2006.5,0.0173361,3.8958,9.2193,0.001332,4.77E-05
2006.545,0.0172637,3.7277,NA,0.0014203,4.92E-05
2006.59,0.0193873,4.0491,9.221,0.0013518,5.47E-05
2006.64,0.0172442,4.3731,9.2095,0.0013772,6.63E-05
2006.68,0.0169679,4.1103,9.2063,0.0013293,4.70E-05
2006.72,0.0167549,4.0887,9.2043,0.0013549,5.30E-05
2006.76,0.0175866,4.1982,9.1843,0.0013617,4.95E-05
2006.8,0.0159949,4.2431,9.1219,0.0013234,4.62E-05
2006.85,0.0177612,4.1539,9.1585,0.0013659,5.10E-05
2006.89,0.0160695,4.3428,9.1028,0.0012989,5.09E-05
2006.93,0.0154745,4.4784,9.1237,0.0013145,4.81E-05
2006.97,0.0153289,4.4892,9.0097,0.0012409,4.64E-05
2007.01,0.0143768,4.5447,9.034,0.0012859,4.90E-05
2007.05,0.0134174,4.4545,8.9677,0.0012276,4.46E-05
2007.11,0.0134522,4.3538,8.9995,0.001279,4.26E-05
2007.17,0.0140288,4.3317,9.0266,0.0012962,4.60E-05
2007.23,0.0147235,4.2572,9.1069,0.001336,4.54E-05
2007.29,0.0161614,4.2385,9.1587,0.0013423,4.42E-05
2007.35,0.016594,4.1374,9.1867,0.0013663,4.92E-05
2007.41,0.0157057,4.0179,9.2053,0.0013675,4.92E-05
2007.47,0.018361,3.8438,9.2639,0.0014002,5.12E-05
2007.53,0.0196628,3.8423,9.2651,0.001381,5.00E-05
2007.59,0.017773,3.7431,9.2932,0.0013975,5.21E-05
2007.64,0.0176975,4.503,9.2084,0.0013519,8.63E-05
2007.7,0.0164186,4.0994,9.1852,0.0012902,5.03E-05
2007.75,0.0178244,4.0965,9.233,0.0014213,5.58E-05
2007.8,0.0161408,4.3294,9.1175,0.001286,5.27E-05
2007.86,0.0156207,4.5763,9.078,0.0012394,5.59E-05
2007.91,0.0130948,4.4262,9.0205,0.0012179,5.21E-05
2007.96,0.0124156,4.4941,8.9614,0.001187,4.80E-05
2008.01,0.0115017,4.4362,8.9601,0.0012,4.65E-05
2008.06,0.011711,4.3716,8.9751,0.0011936,4.63E-05
2008.12,0.0120948,4.1715,8.9604,0.0012324,5.00E-05
2008.17,0.0132623,4.31,9.0027,0.0012783,5.40E-05
2008.22,0.013973,4.575,NA,0.001234,5.22E-05
2008.27,0.0150489,4.3179,9.0671,0.0013037,5.73E-05
2008.32,0.0159485,4.2077,9.0693,0.0012381,5.36E-05
2008.37,0.0157865,4.238,9.0899,0.0012328,5.49E-05
2008.42,0.0155255,4.0667,9.1573,0.0012968,5.41E-05
2008.47,0.0154451,3.9949,9.174,0.0013007,5.58E-05
2008.52,0.0165709,3.9764,9.1866,0.0012925,5.02E-05
2008.57,0.0165783,4.0268,9.2276,0.0012823,5.66E-05
2008.63,0.0170336,3.9682,9.2487,0.0013201,5.26E-05
2008.67,0.0152602,4.1149,9.1666,0.0012587,5.61E-05
2008.71,0.0156414,4.1339,9.1156,0.0012639,5.54E-05
2008.76,0.0166978,4.111,9.1316,0.0013134,5.77E-05
2008.8,0.0179064,4.1087,9.1549,0.0013351,5.95E-05
2008.84,0.0152786,4.1905,9.0213,0.0012352,5.69E-05
2008.89,0.0157705,4.3511,9.0319,0.0012308,5.51E-05
2008.93,0.0133292,4.3366,8.9242,0.0011823,5.96E-05
2008.97,0.0114615,4.258,8.9329,0.0011919,5.65E-05
2009.01,0.0109485,4.2696,8.9363,0.0011976,5.56E-05
2009.05,0.0115887,4.3226,8.9362,0.0011777,5.55E-05
2009.09,0.0129942,4.3336,8.9911,0.0012146,5.16E-05
2009.12,0.013411,4.228,9.014,0.0012121,5.18E-05
2009.16,0.0153831,4.1224,9.1053,0.001259,5.93E-05
2009.2,0.0155482,4.2363,9.0802,0.0012265,5.45E-05
2009.24,0.016338,4.1651,9.06,0.0012219,5.82E-05
2009.28,0.0148454,4.0431,9.0868,0.0012598,5.59E-05
2009.32,0.0156116,4.1296,9.0747,0.001224,5.63E-05
2009.35,0.0174352,4.1202,9.0961,0.0012472,5.81E-05
2009.39,0.0179018,4.1905,9.1184,0.0012685,5.74E-05
2009.43,0.0163237,4.1795,9.1173,0.001248,5.51E-05
2009.47,0.0166313,4.2196,9.0832,0.0012464,5.64E-05
2009.51,0.0172809,4.1647,9.0822,0.0012662,6.01E-05
2009.55,0.0177866,4.1757,9.0859,0.0012606,5.82E-05
2009.58,0.0163448,4.053,9.134,0.0013066,5.57E-05
2009.63,0.0167366,4.161,9.1109,0.0013126,6.12E-05
2009.67,0.0164461,4.0891,9.1336,0.0013141,5.33E-05
2009.71,0.0163481,4.1572,9.1206,0.0013015,5.96E-05
2009.75,0.0150488,4.0586,9.1292,0.0013434,5.71E-05
2009.8,0.0152711,4.0562,9.1017,0.0013326,5.60E-05
2009.84,0.0154814,4.1131,9.0558,0.0013131,5.66E-05
2009.88,0.0146979,4.2937,9.0191,0.0012583,5.19E-05
2009.93,0.0145422,4.0799,9.0189,0.0012925,5.60E-05
2009.97,0.0131041,4.2987,8.9922,0.0012366,5.49E-05
2010.01,0.0133141,4.0649,9.0278,0.0012824,5.98E-05
2010.05,0.0127862,4.3563,8.9192,0.0011951,5.95E-05
2010.1,0.0127477,4.3282,8.9357,0.0012232,5.29E-05
2010.14,0.0113055,4.4361,8.8971,0.0011722,5.33E-05
2010.17,0.0121363,4.3152,9.0007,0.0012554,5.43E-05
2010.21,0.0123619,4.2575,8.9668,0.0012295,5.13E-05
2010.24,0.013137,4.1336,9.0489,0.0012818,5.76E-05
2010.27,0.0149556,3.8913,9.1359,0.0013551,6.50E-05
2010.3,0.0135545,3.9956,9.0686,0.0012931,4.83E-05
2010.34,0.0144822,4.0545,9.0897,0.0012883,5.40E-05
2010.37,0.0132826,4.0368,9.1469,0.0012954,4.94E-05
2010.4,0.0168909,4.0603,9.1425,0.0013016,5.08E-05
2010.44,0.0151383,4.0133,9.0967,0.0012907,5.29E-05
2010.47,0.0154529,3.8848,9.0288,0.0013171,5.36E-05
2010.5,0.014678,3.9702,9.152,0.0013483,5.74E-05
2010.53,0.0163557,3.9596,9.1795,0.0013583,6.25E-05
2010.57,0.0156368,4.1024,9.1683,0.0013519,5.76E-05
2010.6,0.016097,4.0912,9.1882,0.0013709,5.51E-05
2010.65,0.017003,4.0584,9.188,0.0013729,5.65E-05
2010.71,0.015042,4.1421,9.1121,0.0013273,5.51E-05
2010.76,0.0148232,4.2026,9.0635,0.0012897,5.35E-05
2010.81,0.0138551,3.9924,9.0794,0.0013197,5.59E-05
2010.86,0.0132903,4.026,9.0472,0.0012745,5.75E-05
2010.92,0.0141777,3.9424,9.0392,0.0012908,5.60E-05
2010.97,0.013187,3.9335,9.0838,0.0013039,5.69E-05
2011.02,0.0119576,3.9681,9.0302,0.0012611,5.34E-05
2011.13,0.0134086,3.9064,9.0677,0.0012725,5.10E-05
2011.24,0.0143364,4.0641,9.0644,0.0012676,5.87E-05
2011.34,0.0132658,4.3654,8.9959,0.0011972,5.35E-05
2011.45,0.0188951,4.1235,9.1557,0.0012575,5.07E-05
2011.56,0.0175377,3.7584,9.2689,0.0013527,5.40E-05
2011.61,0.0169519,3.9564,9.1982,0.0012873,6.47E-05
2011.66,0.0162781,3.9379,9.2078,0.0012948,5.57E-05
2011.71,0.0154677,4.0336,9.1535,0.001254,5.39E-05
2011.76,0.015049,4.0256,9.1373,0.0012949,6.11E-05
2011.81,0.0156384,4.1583,9.056,0.001249,5.69E-05
2011.86,0.0149201,4.0633,9.0084,0.0012578,5.85E-05
2011.91,0.016912,3.9783,9.0342,0.0012943,5.67E-05
2011.96,0.0169716,4.2377,8.9652,0.0012323,5.59E-05
2012.01,0.0168547,4.1865,8.9652,0.0012539,5.50E-05
2012.06,0.0198525,4.3358,8.9446,0.0012221,5.10E-05
2012.16,0.0259254,4.2164,8.9656,0.0012262,5.44E-05
2012.26,0.0261484,4.2147,9.0198,0.0012113,5.27E-05
2012.36,0.0228492,4.2433,9.0447,0.001236,5.53E-05
2012.46,0.0203215,4.2658,9.0849,0.0012176,5.14E-05
2012.55,0.0238903,4.2919,9.1142,0.0012099,5.60E-05
2012.62,0.024552,4.2642,9.0614,0.0012264,5.85E-05
2012.68,0.0261505,4.2831,9.0459,0.0012286,5.37E-05
2012.75,0.0238161,4.2326,9.041,0.001265,5.49E-05
2012.81,0.0234633,4.3148,9.0008,0.0012469,6.10E-05
2012.87,0.0245764,4.3872,8.9818,0.001228,5.33E-05
2012.94,0.0281377,4.5141,8.9214,0.0011918,5.42E-05
2013,0.024416,4.4384,8.9224,0.0012055,5.28E-05
2013.06,0.0240693,4.3702,8.8395,0.001205,5.43E-05
2013.13,0.0224787,4.5299,8.7789,0.0011605,5.08E-05
