Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,MnCa,Nd,Pr,Sm,SrCa,Tb,Tm,Y,Yb,YCa
1979.916438,0.00611,30.1,15.4,10.2,2.3,12.2,3.3,26.6,1.1,0.00235,30.1,6.4,7.6,9.18,2.2,1.3,172,6.9,0.000162
1980.001366,0.00639,32.4,14.6,10.8,2.5,12.9,3.6,26.4,1.2,0.00237,28,6.4,7.7,9.11,2.1,1.3,187,6.6,0.000164
1980.086066,0.00629,25.5,12.7,8.6,2.5,12.6,3.3,22.7,1,0.00229,27,5.8,7.3,9.07,2.1,1.2,173,6.7,0.000166
1980.165301,0.00707,25,13.1,8.9,2.5,12.8,3.2,22.8,1.1,0.00228,26.7,5.7,7.3,9.1,2.1,1.2,172,6.8,0.000167
1980.25,0.00792,25.1,13.7,9.5,2.6,13,3.3,23.1,1.1,0.00228,26.6,5.7,7.4,9.13,2.1,1.2,171,7,0.000166
1980.331967,0.00846,24.1,13.7,9.6,2.5,12.6,3.2,22.4,1.1,0.00224,25.8,5.6,7.3,9.17,2,1.2,162,6.9,0.000162
1980.416667,0.00854,22,12.9,8.9,2.3,11.4,3,20.1,1,0.00218,24,5.1,6.9,9.2,1.9,1.1,151,6.6,0.00016
1980.498634,0.00864,20.2,12.1,8.3,2.1,10.3,2.8,17.8,0.9,0.00215,22.2,4.6,6.5,9.24,1.8,1,140,6,0.000162
1980.583333,0.01261,31.1,15.7,9.2,3.4,14,4,26.2,1,0.0022,33.2,7,9.5,9.21,2.5,1.2,201,8.8,0.000166
1980.668033,0.01294,28.9,10.9,7.7,2.2,11,3.4,24,0.9,0.00227,28.7,6.2,8,9.15,1.6,1,169,7.5,0.000173
1980.75,0.00735,21.3,9.5,6.7,2,9.5,2.5,16.9,0.8,0.00228,19.7,4.4,5.9,9.1,1.5,0.9,124,5,0.000181
1980.834699,0.00687,20,10.4,6.7,1.8,9.1,2.6,16.2,0.6,0.00227,20.1,4.3,5.8,9.07,1.6,0.9,124,5,0.000191
1980.916667,0.00683,19.8,10,7.3,1.8,9.8,2.5,15.7,0.7,0.00226,18.8,4,5.3,8.96,1.6,1,120,4.6,0.000199
1981.00137,0.00607,27.2,12.2,7.6,2.5,11.2,3.2,19.3,0.9,0.0023,24.1,5.3,7.5,9.04,2.1,1.1,150,5.9,0.000206
1981.086301,0.00537,26.7,11.7,7.7,2.4,10.9,3,19.4,0.9,0.00229,23.5,5.3,7.8,9,2,1.1,147,5.9,0.000212
1981.163014,0.00567,26,10.9,7.7,2.3,10.5,2.9,18.9,0.8,0.00221,22,5.1,7.7,9.03,1.8,1,140,5.6,0.000213
1981.247945,0.00606,25.5,10.1,7.7,2.2,10.1,2.7,18.5,0.8,0.0021,20.6,4.9,7.7,9.06,1.7,1,134,5.3,0.00021
1981.330137,0.00691,23.8,10.8,7.5,2.1,9.9,2.6,18.1,0.8,0.00201,20,4.6,6.7,9.12,1.6,1,130,5.3,0.000207
1981.415068,0.00783,22.4,11.8,7.2,1.9,9.8,2.5,17.7,0.8,0.00194,19.4,4.4,5.7,9.2,1.4,1,125,5.2,0.000202
1981.49726,0.00933,22.1,10.9,7.1,1.9,9.2,2.5,17.1,0.8,0.0019,20.1,4.4,5.9,9.25,1.5,1,123,5.3,2.00E-04
1981.582192,0.01085,21.6,10,7,1.9,8.7,2.5,16.6,0.8,0.00187,20.8,4.4,6.1,9.31,1.5,1,121,5.6,0.000194
1981.667123,0.01141,24.5,11,8,2.1,10.8,2.9,19.8,0.8,0.00187,24.7,5.1,7.9,9.21,1.6,1,141,6.6,0.000191
1981.749315,0.0077,28.1,12.7,8.2,2.1,12.2,3.3,22.5,0.9,0.00188,25.8,5.6,8.2,9.17,1.8,1.2,157,6.9,0.000189
1981.834247,0.00704,31.9,14.2,9.5,2.5,12.3,3.8,26.6,1.1,0.00198,30.9,6.4,9,9.18,2,1.2,183,8.2,0.000187
1981.916438,0.00619,33.9,15.7,10.2,2.8,13.4,4.2,29.1,1.1,0.00211,33.5,6.9,9.5,9.14,2.3,1.3,201,8.9,0.000185
1982.00137,0.00582,35.3,16.5,10.5,3.2,13.5,4.1,26.8,1,0.00217,30.1,6.7,8.6,9.16,2.3,1.2,199,7.9,0.000185
1982.086301,0.00616,33.4,15.9,10.5,3,13.1,3.9,26.5,1.1,0.00233,30.2,6.7,8.4,9.16,2.2,1.3,199,8.1,0.000189
1982.163014,0.00651,32.5,15.4,10.4,2.8,12.8,3.7,26.4,1.1,0.00244,30.2,6.6,8.2,9.15,2.2,1.3,191,7.9,0.00019
1982.247945,0.00685,32.7,14.8,10.3,2.7,12.4,3.3,26.4,1.2,0.00247,30.3,6.5,8,9.15,2.2,1.4,176,7.7,0.000186
1982.330137,0.00721,32.8,14.5,10.2,2.6,12.1,3.2,26.1,1.2,0.00245,30,6.4,7.9,9.17,2.1,1.4,173,7.5,0.000186
1982.415068,0.00762,32.3,14.6,10,2.6,12,3.2,25.5,1.1,0.00237,29,6.3,7.8,9.2,2.1,1.4,177,7.4,0.000189
1982.49726,0.00803,33,14.7,9.9,2.7,11.9,3.2,24.9,1.1,0.00232,28.1,6.1,7.8,9.24,2.1,1.4,179,7.2,0.000193
1982.582192,0.00843,33.5,14.8,9.7,2.8,11.7,3.1,24.3,1,0.00233,27.1,6,7.7,9.28,2,1.4,180,7.1,0.000194
1982.667123,0.01238,26.7,13.3,8.9,3.3,11.6,2.9,24.1,0.9,0.00228,28.2,5.4,7.8,9.22,1.9,1.2,168,7.4,0.000192
1982.749315,0.00712,27.6,13.2,9.3,2.5,11.6,2.9,22,1.1,0.00233,25.6,5.3,6.4,9.15,1.9,1.3,169,7,0.000196
1982.834247,0.00598,25.8,12.8,9.3,2.3,11.4,3,22.3,1,0.00251,25.4,5.2,6.8,9.04,1.8,1.4,174,6.9,0.000204
1982.916438,0.00623,29.1,13.1,9.8,2.4,11.2,3.3,23.4,1.1,0.0027,25.8,5.6,7.7,8.97,1.9,1.3,185,7,0.000208
1983.00137,0.00648,26,12.3,8.4,2,9.6,2.8,20.2,0.9,0.00284,21.6,4.9,6.2,8.99,1.9,1.1,158,5.8,0.000211
1983.086301,0.00603,25.2,11.4,7.9,1.8,9.6,2.8,20.2,0.8,0.00291,22.5,4.9,6.5,8.95,1.5,1.2,153,6,0.000212
1983.163014,0.00592,27.7,12.1,8.4,2.1,10.8,3,22.4,0.9,0.00299,24.9,5.4,7.4,9.01,1.7,1.2,166,6.6,0.000216
1983.247945,0.00586,29.8,12.8,9,2.4,12,3.3,24.6,1,0.00317,27.2,5.9,8.2,9.08,1.9,1.2,181,7.1,0.00022
1983.330137,0.00647,36.3,12.4,9.6,2.6,12.7,3.7,27.3,1,0.00312,31.2,7,8.8,9.19,2,1.3,203,8,0.000219
1983.415068,0.00717,44,11.8,10.1,2.7,13.4,4.2,30,1,0.00297,35.3,8.2,9.4,9.31,2.2,1.4,228,9.2,0.000219
1983.49726,0.00762,32.6,10.7,8.8,2.4,11,3.2,23.5,0.9,0.0029,26.9,6.1,7.1,9.34,1.8,1.1,177,6.8,0.000221
1983.582192,0.00807,20.2,9.6,7.3,2.1,8.6,2.2,16.7,0.8,0.0029,18,4,4.7,9.37,1.4,0.9,120,4.3,0.000224
1983.667123,0.01056,21.9,10.5,7.6,1.9,10,2.5,19.5,0.8,0.00296,21.5,4.6,6.1,9.29,1.5,1.1,135,5.1,0.000226
1983.749315,0.00794,22.3,9.7,8.3,1.8,9.5,2.4,18.7,0.9,0.00296,19.9,4.5,6.2,9.15,1.5,1.1,132,4.7,0.000221
1983.834247,0.00636,27.4,11.8,9.5,2.1,11.3,2.9,22.8,1,0.00286,25.4,5.6,6.8,9.11,1.8,1.1,161,6.1,0.000216
1983.916438,0.00638,26.3,12.6,9.7,2.3,12,3,24.8,1.1,0.00283,26.3,5.6,7.3,9.07,1.9,1.4,168,6.5,0.000213
1984.001366,0.00802,36,13.3,9.1,2.6,13.3,3.7,28.3,1,0.00295,32.8,7.4,8.7,9.02,2,1.2,206,8.3,0.00021
1984.086066,0.00805,32.3,13,9.4,2.5,12.7,3.4,26.4,1,0.00296,28.7,6.6,7.8,9.03,2,1.2,195,7.5,0.000206
1984.165301,0.00809,29.6,12.6,9.8,2.4,12.1,3.2,24.4,1,0.00282,24.5,5.8,6.8,9.05,1.9,1.2,187,6.6,0.000199
1984.25,0.00924,30.2,13.9,10.4,2.5,12.6,3.5,26,1,0.00265,27,6.2,8.3,9.13,2.1,1.3,204,7.3,0.000194
1984.331967,0.01043,30.1,15.1,11,2.6,13.1,3.7,27.5,1.1,0.00254,29.6,6.5,9.8,9.2,2.2,1.4,217,7.8,0.000193
1984.416667,0.01157,27.7,13.6,10.4,2.5,12.5,3.4,25.7,1.1,0.00242,28.2,6.1,8.6,9.22,2.1,1.3,201,7.3,0.000192
1984.498634,0.0127,26.1,12.1,9.8,2.4,11.8,3.2,23.9,1.1,0.00242,26.9,5.7,7.5,9.24,1.9,1.2,187,7,0.000191
1984.583333,0.01156,35.9,12.5,9.7,3.3,12.8,3.8,29.7,1,0.00238,31.1,7.2,8.2,9.15,2.2,1.3,222,8.3,0.000189
1984.668033,0.01139,37.8,13.5,10.7,3,14.3,4.1,31.3,1.1,0.00238,34.7,7.7,9.4,9.17,2.3,1.5,238,9.4,0.000186
1984.75,0.00721,41,15.1,10.6,3.1,14.5,4.6,35.7,1.2,0.00246,39.2,8.5,11.8,9.09,2.4,1.5,264,10.6,0.000185
1984.834699,0.00565,35.8,13.2,9.8,2.3,12.3,3.8,27.7,1.1,0.00256,30.2,6.9,9.5,9.14,1.9,1.2,218,8.3,0.000183
1984.916667,0.00542,32.7,13.2,8.8,2.2,10.7,3.3,24.5,0.9,0.00273,23.9,5.9,7.2,9.03,2,1.2,192,6.7,0.000182
1985.00137,0.00523,24.4,10.1,8.2,2.3,11.6,2.8,19.8,0.9,0.00284,20.5,4.7,6.1,8.97,1.6,1.1,161,5.7,0.000181
1985.086301,0.0054,25,10.2,8.1,2.1,10.5,2.8,20,0.9,0.00285,20.8,4.8,6.5,9.01,1.6,1.1,159,5.7,0.000179
1985.163014,0.00556,25.7,10.2,7.9,1.9,9.4,2.7,20.2,0.9,0.00284,21.1,4.8,6.8,9.05,1.7,1.1,155,5.6,0.000177
1985.247945,0.00597,25.6,10.7,8,1.9,9.4,2.8,20.6,0.9,0.00283,22,4.9,7.1,9.11,1.7,1.2,158,5.7,0.000177
1985.330137,0.00653,25,11.6,8.3,1.9,10.2,2.9,21.1,1,0.00282,23.4,5,7.4,9.17,1.8,1.2,163,6,0.000177
1985.415068,0.00723,25.2,12.2,8.5,1.9,10.8,2.9,21.3,1,0.00284,24.1,5.1,7.4,9.22,1.8,1.3,166,6.1,0.000177
1985.49726,0.00819,26.8,12.5,8.5,1.9,10.8,2.9,21,1,0.00283,23.4,5.1,7,9.26,1.8,1.2,165,5.9,0.000175
1985.582192,0.00915,28.3,12.8,8.5,1.9,10.8,2.9,20.6,1,0.00286,22.6,5.2,6.5,9.3,1.8,1.2,165,5.8,0.000175
1985.667123,0.00923,22.9,11.6,7.9,1.7,9,2.6,19,0.8,0.00293,21.5,4.6,6.3,9.21,1.6,1.1,151,5.6,0.000177
1985.749315,0.00757,23,10.8,7.6,2.3,9,2.5,19.2,0.9,0.00297,19.6,4.3,5.9,9.09,1.5,1.1,149,5.1,0.00018
1985.834247,0.00704,23.5,10.6,7.9,2.1,9.9,2.8,20.1,0.9,0.00305,23.2,4.8,7.4,9.1,1.8,1.1,164,6,0.000184
1985.916438,0.00641,23.1,9.3,7.5,1.8,10.1,2.7,19.8,0.9,0.00317,21.7,4.7,6.7,9.03,1.7,1.1,158,5.6,0.000188
1986.00137,0.00627,21.2,10.7,8,2,9.1,2.5,16.7,0.8,0.00322,19.2,4.2,6.2,8.94,1.5,1.1,148,5,0.000194
1986.086301,0.00631,21.1,10.1,7.3,1.8,9.5,2.5,17.6,0.8,0.00318,19.7,4.3,6.3,8.95,1.5,1,149,5.1,2.00E-04
1986.163014,0.00632,21.3,9.8,6.9,1.7,9.8,2.6,18.7,0.8,0.00317,20.6,4.5,6.5,8.96,1.5,1,149,5.3,0.000203
1986.247945,0.0062,23.8,10.9,7.6,1.9,10,2.8,20.4,0.8,0.00315,23,5,6.9,9.01,1.6,1.1,162,6,0.000205
1986.330137,0.00659,23.9,11.5,7.9,2,10,2.9,20.8,0.8,0.00312,24,5.2,7.1,9.04,1.6,1.2,166,6.3,0.000206
1986.415068,0.0077,21.8,11.4,7.6,2,9.9,2.7,19.2,0.8,0.00305,22.7,4.9,6.8,9.06,1.5,1.1,156,6,0.000203
1986.49726,0.00965,22,11.1,7.6,1.9,9.8,2.6,18.8,0.8,0.00298,22.4,4.8,6.6,9.13,1.5,1.1,155,6,0.000202
1986.582192,0.0119,22.4,10.8,7.7,1.7,9.6,2.6,18.7,0.9,0.00295,22.3,4.8,6.4,9.23,1.5,1,154,6,2.00E-04
1986.667123,0.01124,21.7,10.7,8,1.8,9.6,2.5,18.1,0.8,0.00294,21.6,4.7,6.7,9.23,1.6,1.1,149,5.9,0.000195
1986.749315,0.00966,20.9,10.6,8,1.8,9.8,2.5,18,0.9,0.00294,21.3,4.6,6.8,9.19,1.6,1.1,150,5.9,0.000192
1986.834247,0.0069,19.9,10.6,7.6,1.8,10.2,2.5,19,0.9,0.00305,21.7,4.5,6.9,9.07,1.7,1,151,6,0.000191
1986.916438,0.00641,23.4,10.8,7.4,2,10.7,2.8,20.2,0.9,0.00316,23.1,5,7.1,9.02,1.8,1,165,6.3,0.000191
1987.00137,0.00617,26.5,11,7.6,2.1,10.9,3,20.7,0.8,0.00318,23.9,5.4,7,8.97,1.9,1.1,174,6.6,0.000192
1987.086301,0.00609,27.2,11.2,8.5,2,10.7,3,20.1,0.8,0.00315,23.5,5.4,6.6,8.92,1.8,1.1,173,6.7,0.000192
1987.163014,0.00586,24.9,12.2,8.4,2.3,12.4,3.2,22.3,1,0.0031,24.9,5.3,7.7,9,1.7,1.3,182,7.1,0.000193
1987.247945,0.00604,30.4,11.5,9.2,2.1,11.8,3.5,24.4,0.9,0.00307,25.2,5.9,7.4,9.1,1.9,1.3,194,7.1,0.000195
1987.330137,0.00775,31,13.4,9.7,2.3,12,3.7,25.6,1.1,0.00295,28,6.3,7.8,9.19,1.8,1.3,205,7.8,0.000197
1987.415068,0.01151,27,12.1,8.8,1.9,10.8,3.1,21.1,1,0.00273,22.2,5.2,7.4,9.23,1.7,1.3,173,6.2,0.000198
1987.49726,0.01297,25.1,11.8,9,1.8,10.1,2.8,20.7,0.9,0.00253,22.2,5.1,5.7,9.24,1.7,1.2,162,6.2,0.000198
1987.582192,0.00947,23.2,11.2,8,1.8,9.7,2.7,20.6,0.9,0.0024,22.8,4.9,6.1,9.17,1.6,1.2,155,6.2,0.000197
1987.667123,0.00669,22.2,10.7,7.4,1.9,9.7,2.6,20.8,0.9,0.00231,23.4,4.9,6.6,9.12,1.6,1.2,152,6.3,0.000196
1987.749315,0.0066,25,10.9,8.1,2,10.6,2.8,22.2,0.9,0.00227,24,5.3,7.4,9.13,1.7,1.3,161,6.4,0.000193
1987.834247,0.00652,26.1,11,8.5,2,10.7,2.9,22.4,1,0.0023,23.4,5.3,7.4,9.09,1.8,1.2,163,6.2,0.00019
1987.916438,0.00647,24.7,11,8.4,1.9,9.8,2.7,21.1,0.9,0.00236,21.2,4.9,6.2,8.99,1.8,1.1,153,5.6,0.000189
1988.001366,0.00633,22.7,10.9,8,2,9.6,2.6,20.1,0.9,0.0024,20.4,4.6,5.9,8.93,1.6,1,145,5.4,0.000187
1988.086066,0.00615,20.3,10.9,7.5,2.2,9.5,2.6,19.3,0.9,0.00248,20.1,4.3,5.9,8.88,1.5,1,141,5.4,0.000185
1988.165301,0.00577,20.5,11.2,8,2.1,9.9,2.7,19.8,0.9,0.00269,21,4.5,6.2,8.99,1.5,1.1,148,5.7,0.000183
1988.25,0.00613,21.3,11.6,8.2,2,10.2,2.8,20.5,0.9,0.00287,21.8,4.7,6.6,9.09,1.6,1.1,154,6,0.000181
1988.331967,0.00777,22.6,12,8,2,10.6,2.9,21,0.9,0.00295,22.6,4.9,6.9,9.16,1.7,1.1,160,6.2,0.000182
1988.416667,0.01057,26.3,11.7,8.4,2.2,11.2,3.1,21.8,1,0.00292,24,5.4,6.8,9.2,1.9,1.2,173,6.5,0.000184
1988.498634,0.01123,27.7,11.3,8.5,2.3,11.5,3.1,21.8,1,0.00288,24.3,5.5,6.7,9.25,1.9,1.2,176,6.6,0.000185
1988.583333,0.00813,25.2,10.6,8.1,2.1,10.9,2.9,20.4,0.9,0.0029,22.9,5.2,6.6,9.29,1.6,1,165,6.2,0.000188
1988.668033,0.00659,26.9,11.2,8.6,2.1,11.3,3,22.3,0.9,0.0029,23.4,5.5,7.5,9.25,1.8,1,173,6.3,0.000191
1988.75,0.00562,29,11.6,8.9,2.1,11.3,3.1,23.5,1,0.0028,24,5.7,8,9.19,1.9,1.1,177,6.2,0.000194
1988.834699,0.00597,27,11.4,8.7,2.1,10,2.9,22.1,1,0.00274,23.8,5.4,7.6,9.08,2,1.1,166,6,0.000196
1988.916667,0.0061,24.9,10.8,8.2,2,9.5,2.7,20.7,0.9,0.0028,22.4,5.1,6.8,9.05,1.8,1.1,154,5.7,0.000197
1989.00137,0.00612,23.8,10,7.7,1.9,9.4,2.5,19.5,0.8,0.00294,20.5,4.8,5.9,9.05,1.7,1.1,140,5.1,0.000197
1989.086301,0.00579,25.1,10.6,7.8,2,10.1,2.6,20.3,0.9,0.00307,21.8,5,6.4,9.09,1.7,1.1,146,5.3,0.000197
1989.163014,0.00571,26.4,11,7.8,2.2,10.6,2.7,20.8,0.9,0.00313,22.3,5.1,6.8,9.12,1.7,1,152,5.3,0.000198
1989.247945,0.0065,27,10.9,7.8,2,10.6,2.6,20.4,0.8,0.00313,19.7,4.8,6.7,9.14,1.6,1.1,144,4.6,0.000197
1989.330137,0.00759,25.4,10.9,7.9,1.9,10.5,2.5,20.2,0.8,0.0031,18.9,4.5,6.5,9.17,1.6,1.1,139,4.5,0.000193
1989.415068,0.0091,21.3,11,8.3,2,10.3,2.5,20,0.9,0.00307,20.6,4.3,6.1,9.23,1.6,1.1,138,5.1,0.000191
1989.49726,0.01128,21.7,10.5,8.1,1.9,10.2,2.5,19.8,0.9,0.00304,20.9,4.4,6.2,9.26,1.5,1,139,5.2,0.00019
1989.582192,0.01372,23.5,9.8,7.7,1.8,10.1,2.6,19.5,0.9,0.00301,20.8,4.6,6.5,9.28,1.4,0.9,142,5.2,0.000191
1989.667123,0.01235,29.1,11.4,8.3,2.1,10.4,2.9,21,0.9,0.00297,23.3,5.4,6.8,9.22,1.6,1,162,5.9,0.000191
1989.749315,0.01033,31,12.1,8.6,2.3,10.7,3.1,22,0.9,0.00293,24.7,5.7,6.8,9.17,1.7,1.1,173,6.4,0.000191
1989.834247,0.00767,25.3,11.3,8.4,2.1,10.7,2.9,21.8,0.9,0.00292,23.9,5.1,6.5,9.13,1.6,1.1,164,6.4,0.000192
1989.916438,0.0073,28.9,11.6,8.7,2.1,10.9,3.1,23.4,0.9,0.00292,25.5,5.7,6.8,9.09,1.7,1.1,177,6.7,0.000194
1990.00137,0.00712,30.1,11.8,8.5,2.1,10.9,3.1,23.8,0.9,0.00291,25.8,5.8,6.7,9.05,1.8,1.1,178,6.7,0.000195
1990.086301,0.00697,25.6,11.5,7.4,2,10.8,2.8,22,0.9,0.00285,23.7,5.1,6,8.98,1.7,1,159,6.1,0.000195
1990.163014,0.00699,29.7,11.5,7.7,2,11.6,2.9,22.9,0.9,0.00277,24.8,5.5,6.5,8.99,1.7,1.1,167,6.5,0.000195
1990.247945,0.00703,34.4,11.4,8,2.1,12.5,3.2,23.9,0.8,0.0027,26.2,6.1,7,9,1.7,1.2,179,7,0.000195
1990.330137,0.008,30.8,11.8,8.5,2.2,12.4,3.1,23.4,0.9,0.00265,26.3,5.7,7.1,9.07,1.7,1.1,173,7,0.000196
1990.415068,0.00909,26.1,12.2,9,2.3,12.1,3,22.6,0.9,0.00264,26.1,5.3,7.2,9.14,1.7,1.1,166,6.9,0.000197
