Age,MgCa,SrCa,Distance
2003.07,3.660688393,9.302616699,113.4
2003.1,3.616073412,9.305073799,112.9
2003.13,3.685712658,9.225528275,112.4
2003.17,3.759417308,9.14390629,111.9
2003.2,3.703993182,9.161922828,111.4
2003.23,3.746830037,9.004940503,110.9
2003.25,3.848250358,9.24276113,110.4
2003.28,3.711735144,9.115746173,109.9
2003.3,3.781532723,9.125207698,109.4
2003.33,3.773786803,9.233100728,108.9
2003.35,3.606386061,9.313358081,108.4
2003.38,3.681192881,9.385006298,107.9
2003.4,3.735254742,9.34672881,107.4
2003.43,3.75156073,9.249525302,106.9
2003.45,3.491508354,9.348274418,106.4
2003.48,3.554783453,9.402343434,105.9
2003.5,3.640953663,9.467966581,105.4
2003.53,3.562427965,9.499415522,104.9
2003.55,3.548534416,9.550015649,104.4
2003.58,3.497951162,9.574120535,103.9
2003.61,3.50689861,9.520299298,103.4
2003.64,3.638705638,9.496041185,102.9
2003.67,3.657825286,9.482209429,102.4
2003.7,3.601393785,9.451745345,101.9
2003.73,3.678783926,9.325087635,101.4
2003.76,3.594234183,9.44760926,100.9
2003.79,3.688496925,9.344971449,100.4
2003.82,3.756280137,9.24240639,99.9
2003.85,3.669361222,9.372041294,99.4
2003.88,3.632930588,9.23166903,98.9
2003.91,3.496286468,9.233175522,98.4
2003.94,3.506630601,9.262384211,97.9
2003.98,3.369438273,9.26976248,97.4
2004.01,3.246890373,9.177244246,96.9
2004.04,3.421389575,9.214277722,96.4
2004.07,3.511245653,9.153796778,95.9
2004.12,3.648958853,9.243271121,95.4
2004.17,3.564629577,9.265045258,94.9
2004.22,3.579928525,9.489619296,94.4
2004.27,3.658780399,9.474341677,93.9
2004.31,3.693333391,9.525368434,93.4
2004.36,3.593306458,9.513085325,92.9
2004.41,3.568911372,9.521766269,92.4
2004.46,3.598433169,9.594731685,91.9
2004.5,3.489389396,9.6003076,91.4
2004.55,3.409782069,9.635272961,90.9
2004.6,3.313926422,9.623889998,90.4
2004.65,3.375683421,9.663321183,89.9
2004.69,3.538239166,9.520536273,89.4
2004.74,3.601933748,9.300831977,88.9
2004.78,3.710202101,9.181037517,88.4
2004.82,3.791880584,9.080796153,87.9
2004.87,3.684106411,9.081506154,87.4
2004.91,3.644163965,9.098404141,86.9
2004.96,3.552623433,9.079048613,86.4
2005,3.637289205,9.074699585,85.9
2005.09,3.700842003,8.929281442,84.9
2005.15,3.689290947,9.040157618,84.4
2005.21,3.645311574,9.038649034,83.9
2005.27,3.783629979,9.073629066,83.4
2005.39,3.738399642,9.17101341,82.4
2005.45,3.784677118,9.211243902,81.9
2005.51,3.764818247,9.270878605,81.4
2005.56,3.785158866,9.329022369,80.9
2005.62,3.788632034,9.420216787,80.4
2005.65,3.646231594,9.342425929,79.9
2005.67,3.721277673,9.297414686,79.4
2005.69,3.785642101,9.254266811,78.9
2005.72,3.656519357,9.214364789,78.4
2005.74,3.61938188,9.260833514,77.9
2005.76,3.744784081,9.234007427,77.4
2005.8,3.767405364,9.190563416,76.8
2005.81,3.746232053,9.089586703,76.5
2005.83,3.89206782,9.116141124,76.2
2005.84,3.690205488,9.178205325,75.9
2005.86,3.716548272,9.158395649,75.3
2006.02,3.642576625,9.071630611,73.5
2006.05,3.841221642,8.95070166,73
2006.09,3.973322704,9.073485574,72.5
2006.14,3.773704782,9.206643429,72
2006.18,3.740308694,9.061570916,71.5
2006.23,3.908784174,9.100005895,71
2006.27,3.781386102,9.206172915,70.5
2006.32,3.957297711,9.393818567,70
2006.36,3.924312298,9.274574829,69.5
2006.4,3.700935492,9.195474635,69
2006.45,3.741562991,9.294013602,68.5
2006.49,3.624806886,9.26387092,68
2006.54,3.63321824,9.392533506,67.5
2006.58,3.573756965,9.488739357,67
2006.62,3.580830077,9.376464256,66.5
2006.67,3.610413536,9.35815029,66
2006.71,3.640006921,9.322944019,65.5
2006.75,3.659530614,9.241143715,65
2006.79,3.700773328,9.197335173,64.5
2006.83,3.761374652,9.126626987,64
2006.87,3.772949022,9.241838284,63.5
2006.91,3.650240753,9.21522645,63
2006.95,3.563282716,9.23838082,62.5
2006.99,3.540936375,9.106901949,62
2007.03,3.687942261,9.260883576,61.5
2007.07,3.70735169,9.143013793,61
2007.12,3.730662771,9.140722367,60.5
2007.16,3.767388633,9.192679334,60
2007.2,3.746672385,9.02262337,59.5
2007.24,3.743549252,9.145460482,59
2007.28,3.881675412,9.22306518,58.5
2007.33,3.869465194,9.212489008,58
2007.37,4.041635459,9.136201655,57.5
2007.41,3.831610036,9.233756197,57
2007.46,3.565259667,9.512442463,56.5
2007.5,3.44865392,9.586901151,56
2007.54,3.471893404,9.598012361,55.5
2007.62,3.592225156,9.411492066,55
2007.7,3.756050531,9.320976262,54.5
2007.77,3.794438456,9.300200835,54
2007.85,3.866847702,9.095434761,53.5
2008.08,3.711868495,9.084290036,52.5
2008.11,3.626827205,9.131006883,52
2008.15,3.788448341,9.17060851,51.5
2008.18,3.864115549,9.30261181,51
2008.21,3.821128943,9.185191905,50.5
2008.24,3.722966939,9.206769197,50
2008.28,3.865617846,9.200892857,49.5
2008.34,3.87592302,9.166949408,48.5
2008.38,3.767811204,9.20916299,48
2008.41,3.877952279,9.327170078,47.5
2008.44,3.817969965,9.247818331,47
2008.48,3.77062367,9.150030677,46.5
2008.51,3.678105157,9.341707074,46
2008.54,3.640764996,9.455389963,45.5
2008.58,3.483327159,9.590093539,45
2008.64,3.448392583,9.43427044,44.5
2008.7,3.63427443,9.140659432,44
2008.77,3.78554654,8.978691699,43.5
2008.83,3.791814892,9.047377583,43
2008.89,3.706539847,8.983658072,42.5
2008.95,3.827212656,9.037613514,42
2009.02,3.905311931,8.920667822,41.5
2009.06,3.866837152,8.972984701,41
2009.1,3.774812207,9.009674173,40.5
2009.14,4.020571632,9.04674449,40
2009.18,3.937830247,9.050716659,39.5
2009.22,4.001930877,9.061487254,39
2009.25,3.915141056,9.013626387,38.5
2009.29,3.827390686,9.146833024,38
2009.33,3.917854664,9.126795291,37.5
2009.37,3.942528076,9.084943163,37
2009.41,3.951754542,9.236559718,36.5
2009.45,3.874176435,9.253473089,36
2009.49,3.764142889,9.34019738,35.5
2009.53,3.647021906,9.294906671,35
2009.57,3.55865027,9.392527553,34.5
2009.61,3.741381285,9.345649604,34
2009.64,3.735911999,9.217861538,33.5
2009.68,3.914708564,9.136569486,33
2009.71,3.72811174,9.148277274,32.5
2009.75,4.022063731,9.060714742,32
2009.78,4.040482033,9.050061857,31.5
2009.82,3.928218589,9.108493535,31
2009.85,3.903632541,9.149093616,30.5
2009.89,3.792227577,9.043406057,30
2009.92,3.971267718,9.105261051,29.5
2009.95,3.916439911,9.030378862,29
2009.99,3.947249921,9.135826556,28.5
2010.02,4.041088232,9.093190834,28
2010.06,4.015610715,9.177393998,27.5
2010.09,4.068884989,8.993877643,27
2010.13,4.058275413,8.93108826,26.5
2010.17,4.013135346,9.169719111,26
2010.21,4.306420319,9.088144474,25.5
2010.24,4.067901021,9.156165482,25
2010.28,3.906523467,9.189608689,24.5
2010.32,3.824488898,9.142125951,24
2010.36,3.849511326,9.140683931,23.5
2010.4,3.817193339,9.10311977,23
2010.44,3.912536667,9.137097377,22.5
2010.47,3.927726141,9.194979311,22
2010.51,3.873383592,9.21946994,21.5
2010.55,3.738570986,9.23454878,21
2010.59,3.765883096,9.315766169,20.5
2010.63,3.674757559,9.353928122,20
2010.67,3.726107985,9.232814259,19.5
2010.72,3.83510159,9.240705366,19
2010.76,3.947689866,9.214479634,18.5
2010.81,3.901989398,9.310278723,18
2010.85,3.964272294,9.241662459,17.5
2010.9,3.947538294,9.144417508,17
2010.94,3.945973385,9.207393649,16.5
2010.99,3.878171681,9.036878794,16
2011.04,3.817197205,9.031658653,15.5
2011.08,3.880575699,9.077501787,15
2011.13,3.867302598,8.889067638,14.5
2011.18,4.100084791,9.083919429,14
2011.23,4.120710339,9.064645097,13.5
2011.28,4.082128287,9.163232305,13
2011.33,3.969253851,9.084248653,12.5
2011.38,3.988205759,9.262711872,12
2011.43,4.068433461,9.164116972,11.5
2011.48,3.973865886,9.327582136,11
2011.52,3.84899389,9.390261945,10.5
2011.57,3.777428147,9.375758471,10
2011.62,3.722797632,9.482323406,9.5
2011.67,3.512895779,9.46825559,9
2011.72,3.551350987,9.454169401,8.5
2011.76,3.6566216,9.249169776,8
2011.81,3.808497836,9.328157284,7.5
2011.85,3.875153579,9.30883793,7
2011.9,4.026815662,9.250775048,6.5
2011.94,4.056053631,9.192288302,6
2011.99,3.971012163,9.123188322,5
2012.03,3.928264561,9.294446856,4.5
2012.08,4.022014864,9.038784189,4
2012.12,4.226935271,8.894407515,3.5
