Age,LuminGB
1979.833,NA
1979.917,NA
1980,NA
1980.083,NA
1980.167,NA
1980.25,NA
1980.333,NA
1980.417,NA
1980.5,NA
1980.583,NA
1980.667,NA
1980.75,NA
1980.833,NA
1980.917,NA
1981,NA
1981.083,NA
1981.167,NA
1981.25,NA
1981.333,NA
1981.417,NA
1981.5,NA
1981.583,0.850517263
1981.667,0.863602809
1981.75,0.874374943
1981.833,0.886940487
1981.917,0.905125708
1982,0.916043576
1982.083,0.884528302
1982.167,0.870632447
1982.25,0.855901951
1982.333,0.876306414
1982.417,0.903396226
1982.5,0.8731564
1982.583,0.824155442
1982.667,0.867043121
1982.75,0.886989047
1982.833,0.913172153
1982.917,0.909309053
1983,0.904063544
1983.086,0.927170525
1983.17,0.935510513
1983.253,0.934496433
1983.336,0.940062555
1983.42,0.889952482
1983.503,0.892755429
1983.586,0.872567715
1983.67,0.883446643
1983.753,0.900495892
1983.836,0.915332725
1983.92,0.91954023
1984.003,0.88384023
1984.086,0.879510405
1984.17,0.857420996
1984.253,0.840829031
1984.336,0.827045098
1984.42,0.851387533
1984.503,0.842020625
1984.586,0.84626713
1984.67,0.819224307
1984.753,0.849022886
1984.836,0.846684691
1984.92,0.856408987
1985.003,0.837045026
1985.086,0.860109274
1985.17,0.873264091
1985.253,0.8543
1985.336,0.865197233
1985.42,0.84780913
1985.503,0.872328215
1985.586,0.855821599
1985.67,0.8287129
1985.753,0.862259184
1985.836,0.88498038
1985.919,0.866077307
1986.003,0.846652941
1986.086,0.847889821
1986.169,0.856773118
1986.253,0.858573497
1986.336,0.889415851
1986.419,0.855707044
1986.503,0.882101493
1986.586,0.84802093
1986.669,0.828723795
1986.753,0.836578121
1986.836,0.875580352
1986.919,0.878920934
1987.003,0.886540648
1987.086,0.895478713
1987.169,0.890078054
1987.253,0.879792958
1987.336,0.902455081
1987.419,0.882667969
1987.503,0.84084321
1987.586,0.856587678
1987.669,0.771988504
1987.753,0.779517391
1987.836,0.841960524
1987.919,0.861715257
1988.003,0.862359829
1988.086,0.880641345
1988.169,0.88485644
1988.253,0.870967131
1988.336,0.888213043
1988.419,0.915986971
1988.503,0.876387912
1988.586,0.8643
1988.669,0.831107289
1988.752,0.865764431
1988.836,0.863289899
1988.919,0.88761278
1989.002,0.918890753
1989.086,0.952263416
1989.169,0.935158968
1989.252,0.952480398
1989.336,0.952618669
1989.419,0.9643
1989.502,0.967461542
1989.586,0.911639645
1989.669,0.874813509
1989.752,0.9143798
1989.836,0.940805204
1989.919,0.927396456
1990.002,0.915843331
1990.086,0.907076346
1990.169,0.940873926
1990.252,0.884671329
1990.336,0.888269664
1990.419,0.869438932
1990.502,0.880905705
1990.586,0.871851586
1990.669,0.833207963
1990.752,0.868252844
1990.836,0.888828302
1990.919,0.901747248
1991.002,1.004538461
1991.086,0.977442712
1991.169,0.945007915
1991.252,0.924901973
1991.336,0.92187704
1991.419,0.901361292
1991.502,0.808710042
1991.585,0.811072962
1991.669,0.859743399
1991.752,0.900358659
1991.835,0.897457831
1991.919,0.902970165
1992.002,0.983202197
1992.085,0.923877627
1992.169,0.898076923
1992.252,0.90526275
1992.335,0.883761893
1992.419,0.895988929
1992.502,0.891341255
1992.585,0.834581881
1992.669,0.845617546
1992.752,0.844508791
1992.835,0.874750586
1992.919,0.869255319
1993.002,0.905580314
1993.085,0.901739641
1993.169,0.897742153
1993.252,0.863701155
1993.335,0.861704903
1993.419,0.842278002
1993.502,0.866660308
1993.585,0.838556819
1993.669,0.865673206
1993.752,0.856444252
1993.835,0.860421475
1993.919,0.903278481
1994.002,0.89265136
1994.085,0.866044047
1994.169,0.876392405
1994.252,0.87828343
1994.335,0.870795089
1994.418,0.855893156
1994.502,0.866596631
1994.585,0.847733319
1994.668,0.861583654
1994.752,0.856473165
1994.835,0.868166413
1994.918,0.886997236
1995.002,0.905560298
1995.085,0.883636571
1995.168,0.855323375
1995.252,0.878580247
1995.335,0.869810629
1995.418,0.862091309
1995.502,0.875753149
1995.585,0.864059376
1995.668,0.895232558
1995.752,0.88864919
1995.835,0.895836343
1995.918,0.916521599
1996.002,0.906448336
1996.085,0.884320146
1996.168,0.870185079
1996.252,0.896640315
1996.335,0.914428622
1996.418,0.888407445
1996.502,0.888353222
1996.585,0.861841216
1996.668,0.898754628
1996.752,0.900266496
1996.835,0.914316265
1996.918,0.927091963
1997.002,0.916339214
1997.085,0.892382483
1997.168,0.865365653
1997.251,0.853170178
1997.335,0.884139324
1997.418,0.895218802
1997.501,0.854220878
1997.585,0.824376448
1997.668,0.851535609
1997.751,0.860809643
1997.835,0.880662651
1997.918,0.918527226
1998.001,0.920260888
1998.085,0.892083333
1998.168,0.879141173
1998.251,0.889731183
1998.335,0.88254254
1998.418,0.884054454
1998.501,0.874300056
1998.585,0.846068467
1998.668,0.896818182
1998.751,0.893583619
1998.835,0.892253035
1998.918,0.856385607
1999.001,0.919372025
1999.085,0.881556944
1999.168,0.894418194
1999.251,0.886686852
1999.335,0.893278897
1999.418,0.893127465
1999.501,0.876168945
1999.585,0.836400192
1999.668,0.870870301
1999.751,0.870425667
1999.835,0.887583855
1999.918,0.916079723
2000.001,0.936740932
2000.084,0.935452045
2000.168,0.943353557
2000.251,0.917584993
2000.334,0.918277658
2000.418,0.885243192
2000.501,0.86220776
2000.584,0.802912374
2000.668,0.842930096
2000.751,0.880519079
2000.834,0.879133569
2000.918,0.880291952
2001.001,0.89695066
2001.084,0.88703325
2001.168,0.866076903
2001.251,0.879692723
2001.334,0.895456577
2001.418,0.886363636
2001.501,0.887559421
2001.584,0.864076959
2001.668,0.891900513
2001.751,0.891976659
2001.834,0.920367453
2001.918,0.932432432
2002.001,0.950133538
2002.084,0.919743802
2002.168,0.905117666
2002.251,0.912946122
2002.334,0.893472007
2002.418,0.893431581
2002.501,0.908458111
2002.584,0.872124975
2002.668,0.912483637
2002.751,0.926953685
2002.834,0.933193619
2002.918,0.959959717
2003.001,0.961805919
2003.084,0.984126984
