Age,BaCa,BCa,MgCa,SrCa,UCa,Distance
-5883.03,0.003284,0.47533,3.022,8.6,0.001155,22.24
-5882.99,0.002866,0.47835,2.952,8.688,0.0011317,21.91
-5882.94,0.003534,0.48175,2.872,8.724,0.0012054,21.58
-5882.89,0.005195,0.46355,2.82,8.682,0.0011894,21.25
-5882.85,0.006179,0.46411,3.133,8.626,0.0010795,20.92
-5882.8,0.005685,0.45765,3.014,8.636,0.0011449,20.59
-5882.75,0.005794,0.4493,3.227,8.598,0.0010863,20.26
-5882.7,0.00602,0.45344,3.434,8.506,0.0010024,19.93
-5882.66,0.004223,0.47748,3.448,8.576,0.0010556,19.6
-5882.61,0.002954,0.50515,3.309,8.635,0.0010505,19.27
-5882.56,0.002361,0.50169,3.13,8.653,0.0010551,18.94
-5882.52,0.002043,0.51376,3.148,8.633,0.0011221,18.61
-5882.47,0.002021,0.53106,3.014,8.818,0.0011984,18.28
-5882.42,0.002581,0.50242,2.479,8.881,0.0013616,17.95
-5882.37,0.00376,0.47227,2.425,8.925,0.0013365,17.62
-5882.33,0.005238,0.47845,2.81,8.845,0.0012246,17.29
-5882.29,0.005146,0.46833,2.93,8.668,0.0011992,16.96
-5882.24,0.005645,0.48962,3.409,8.584,0.0010235,16.63
-5882.2,0.006647,0.47968,3.688,8.704,0.0010278,16.3
-5882.16,0.006205,0.47099,3.427,8.518,0.0010021,15.97
-5882.11,0.004343,0.47433,3.409,8.557,0.0010171,15.64
-5882.07,0.00434,0.47028,2.969,8.586,0.0010505,15.31
-5882.03,0.004811,0.48428,2.873,8.688,0.0011124,14.98
-5881.98,0.004681,0.48233,2.937,8.682,0.0011026,14.65
-5881.94,0.00349,0.47976,3.092,8.632,0.0010577,14.32
-5881.89,0.003183,0.46544,3.174,8.572,0.0010485,13.99
-5881.85,0.003064,0.47549,3.431,8.646,0.0010378,13.66
-5881.81,0.002932,0.45911,3.471,8.587,0.0010288,13.33
-5881.76,0.002935,0.44072,3.307,8.675,0.0011,13
-5881.72,0.002766,0.47327,3.558,8.702,0.0010658,12.67
-5881.68,0.002532,0.4673,3.532,8.657,0.0010194,12.34
-5881.63,0.002356,0.45944,3.373,8.722,0.0010496,12.01
-5881.59,0.002002,0.50432,3.293,8.598,0.0010153,11.68
-5881.55,0.001796,0.49015,2.782,8.761,0.001159,11.35
-5881.5,0.00191,0.50581,2.619,8.779,0.0012036,11.02
-5881.46,0.002199,0.52648,2.794,8.864,0.0012186,10.69
-5881.42,0.0025,0.52392,3.062,8.853,0.0011234,10.36
-5881.37,0.002796,0.49827,3.071,8.733,0.0011247,10.03
-5881.33,0.00308,0.49267,3.163,8.619,0.0010774,9.7
-5881.29,0.003113,0.46095,3.109,8.628,0.0010726,9.37
-5881.25,0.003167,0.46939,3.411,8.551,0.0010248,9.04
-5881.21,0.002938,0.45938,3.509,8.522,0.0009383,8.71
-5881.17,0.003013,0.47109,3.672,8.562,0.0010026,8.38
-5881.12,0.003047,0.44638,3.515,8.594,0.0010107,8.05
-5881.08,0.003359,0.44047,3.776,8.536,0.0009343,7.72
-5881.04,0.003317,0.45822,3.63,8.54,0.0009531,7.39
-5881,0.00333,0.45859,3.607,8.517,0.0009661,7.06
-5880.96,0.003426,0.4508,3.854,8.492,0.0009179,6.73
-5880.92,0.004038,0.50081,3.526,8.631,0.0010378,6.4
-5880.87,0.00368,0.55772,3.626,8.711,0.0010427,6.07
-5880.83,0.002989,0.52345,3.943,8.616,0.0010131,5.74
-5880.79,0.002772,0.50231,3.521,8.701,0.0011294,5.41
-5880.75,0.002364,0.54419,3.402,8.775,0.0011546,5.08
-5880.71,0.00226,0.53701,3.221,8.882,0.0011706,4.75
-5880.67,0.00226,0.52306,3.1,8.857,0.0011799,4.42
-5880.62,0.002223,0.51631,3.207,8.68,0.0010835,4.09
-5880.58,0.002898,0.46079,2.95,8.884,0.0012341,3.76
-5880.54,0.003403,0.46523,3.147,8.847,0.0012205,3.43
-5880.5,0.004404,0.48478,3.131,8.996,0.0012441,3.1
-5880.46,0.004531,0.43074,2.856,9.171,0.0013716,2.77
